Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    64356.5,   -9.1,   0.96929, 2,    64365.7, -129.1,   0.96943, 3,    64367.7,  110.9,   0.96946
"CKT7", 12.47, 1,    6969.61,  -39.3,   0.96806, 2,    6969.44, -159.3,   0.96804, 3,    6970.64,   80.7,    0.9682
"318405", 12.47, 1,    6969.61,  -39.3,   0.96806, 2,    6969.44, -159.3,   0.96804, 3,    6970.64,   80.7,    0.9682
"318412", 12.47, 1,    6969.61,  -39.3,   0.96806, 2,    6969.44, -159.3,   0.96804, 3,    6970.64,   80.7,    0.9682
"318414", 12.47, 1,    6969.61,  -39.3,   0.96806, 2,    6969.44, -159.3,   0.96804, 3,    6970.64,   80.7,    0.9682
"157345", 12.47, 1,    6961.18,  -39.5,   0.96689, 2,    6965.51, -159.4,   0.96749, 3,     6962.8,   80.6,   0.96711
"157346", 12.47, 1,    6961.19,  -39.5,   0.96689, 2,    6965.51, -159.4,   0.96749, 3,    6962.81,   80.6,   0.96712
"165442", 12.47, 1,    6961.02,  -39.5,   0.96687, 2,    6965.42, -159.4,   0.96748, 3,    6962.58,   80.6,   0.96708
"298160", 12.47, 1,    6953.52,  -39.7,   0.96583, 2,    6960.86, -159.6,   0.96685, 3,    6952.72,   80.4,   0.96572
"165448", 12.47, 1,    6947.85,  -39.7,   0.96504, 2,    6956.98, -159.6,   0.96631, 3,    6947.15,   80.3,   0.96494
"275354", 12.47, 1,    6937.37,  -40.0,   0.96358, 2,    6950.86, -159.9,   0.96546, 3,    6933.03,   80.1,   0.96298
"165449", 12.47, 1,    6936.57,  -40.0,   0.96347, 2,    6950.41, -159.9,   0.96539, 3,    6931.93,   80.1,   0.96283
"165450", 12.47, 1,    6936.56,  -40.0,   0.96347, 2,    6950.41, -159.9,   0.96539, 3,    6931.94,   80.1,   0.96283
"165453", 12.47, 1,    6932.94,  -40.1,   0.96297, 2,    6947.75, -159.9,   0.96502, 3,    6927.34,   80.0,   0.96219
"165454", 12.47, 1,    6932.36,  -40.1,   0.96289, 2,    6947.16, -159.9,   0.96494, 3,    6926.75,   80.0,   0.96211
"165451", 12.47, 1,    6933.84,  -40.1,   0.96309, 2,    6948.85, -159.9,   0.96518, 3,    6928.19,   80.0,   0.96231
"238402", 12.47, 1,    6931.99,  -40.1,   0.96284, 2,    6946.79, -159.9,   0.96489, 3,    6926.38,   80.0,   0.96206
"165455", 12.47, 1,    6929.48,  -40.1,   0.96249, 2,    6944.28, -159.9,   0.96454, 3,    6923.87,   80.0,   0.96171
"165456", 12.47, 1,     6929.5,  -40.1,   0.96249, 2,     6944.3, -159.9,   0.96454, 3,    6923.89,   80.0,   0.96171
"165452", 12.47, 1,    6930.47,  -40.1,   0.96262, 2,    6945.27, -159.9,   0.96468, 3,    6924.86,   80.0,   0.96185
"283563", 12.47, 1,    6929.68,  -40.1,   0.96252, 2,    6944.48, -159.9,   0.96457, 3,    6924.07,   80.0,   0.96174
"165457", 12.47, 1,    6929.39,  -40.1,   0.96247, 2,    6944.19, -159.9,   0.96453, 3,    6923.78,   80.0,    0.9617
"165458", 12.47, 1,    6932.97,  -40.1,   0.96297, 2,    6947.99, -159.9,   0.96506, 3,    6927.32,   80.0,   0.96219
"165459", 12.47, 1,    6933.01,  -40.1,   0.96298, 2,    6948.03, -159.9,   0.96506, 3,    6927.37,   80.0,   0.96219
"165460", 12.47, 1,    6932.77,  -40.1,   0.96294, 2,    6947.78, -159.9,   0.96503, 3,    6927.12,   80.0,   0.96216
"165461", 12.47, 1,    6929.87,  -40.1,   0.96254, 2,    6944.87, -159.9,   0.96463, 3,    6924.22,   80.0,   0.96176
"165463", 12.47, 1,    6928.96,  -40.1,   0.96242, 2,    6943.97, -159.9,    0.9645, 3,    6923.31,   80.0,   0.96163
"165462", 12.47, 1,    6928.27,  -40.1,   0.96232, 2,    6943.28, -159.9,    0.9644, 3,    6922.62,   80.0,   0.96153
"165465", 12.47, 1,    6928.89,  -40.1,   0.96241, 2,     6943.9, -159.9,   0.96449, 3,    6923.24,   80.0,   0.96162
"165466", 12.47, 1,    6929.86,  -40.1,   0.96254, 2,    6944.87, -159.9,   0.96462, 3,    6924.21,   80.0,   0.96175
"165467", 12.47, 1,    6921.17,  -40.2,   0.96133, 2,       6939, -160.0,   0.96381, 3,    6914.78,   80.0,   0.96045
"165468", 12.47, 1,    6920.56,  -40.2,   0.96125, 2,    6938.79, -160.0,   0.96378, 3,    6913.79,   79.9,   0.96031
"165475", 12.47, 1,    6917.84,  -40.2,   0.96087, 2,    6936.41, -160.0,   0.96345, 3,    6910.71,   79.9,   0.95988
"165476", 12.47, 1,    6917.81,  -40.2,   0.96087, 2,    6936.38, -160.0,   0.96345, 3,    6910.68,   79.9,   0.95987
"165477", 12.47, 1,    6917.46,  -40.2,   0.96082, 2,    6936.03, -160.0,    0.9634, 3,    6910.32,   79.9,   0.95983
"273626", 12.47, 1,     6918.4,  -40.2,   0.96095, 2,    6936.98, -160.0,   0.96353, 3,    6911.27,   79.9,   0.95996
"165469", 12.47, 1,    6919.95,  -40.2,   0.96116, 2,    6938.59, -160.0,   0.96375, 3,     6912.8,   79.9,   0.96017
"165480", 12.47, 1,    6919.21,  -40.3,   0.96106, 2,    6938.47, -160.0,   0.96374, 3,    6911.47,   79.9,   0.95998
"165478", 12.47, 1,     6918.7,  -40.3,   0.96099, 2,    6938.39, -160.0,   0.96372, 3,    6910.54,   79.9,   0.95986
"165479", 12.47, 1,    6918.19,  -40.3,   0.96092, 2,    6938.34, -160.1,   0.96372, 3,     6909.6,   79.8,   0.95973
"165484", 12.47, 1,    6918.41,  -40.3,   0.96095, 2,     6938.1, -160.0,   0.96368, 3,    6910.25,   79.9,   0.95982
"165483", 12.47, 1,    6918.45,  -40.3,   0.96096, 2,    6938.15, -160.0,   0.96369, 3,     6910.3,   79.9,   0.95982
"261839", 12.47, 1,    6918.47,  -40.3,   0.96096, 2,    6938.17, -160.0,   0.96369, 3,    6910.32,   79.9,   0.95983
"261838", 12.47, 1,    6918.49,  -40.3,   0.96096, 2,    6938.18, -160.0,    0.9637, 3,    6910.33,   79.9,   0.95983
"165486", 12.47, 1,    6918.06,  -40.3,    0.9609, 2,    6938.36, -160.1,   0.96372, 3,    6909.58,   79.8,   0.95972
"165485", 12.47, 1,    6918.01,  -40.3,   0.96089, 2,    6938.37, -160.1,   0.96372, 3,    6909.58,   79.8,   0.95972
"165487", 12.47, 1,    6917.49,  -40.3,   0.96082, 2,    6938.26, -160.1,   0.96371, 3,    6908.24,   79.8,   0.95954
"165488", 12.47, 1,    6916.79,  -40.3,   0.96072, 0, 0, 0, 0, 0, 0, 0, 0
"165489", 12.47, 1,    6916.82,  -40.3,   0.96073, 0, 0, 0, 0, 0, 0, 0, 0
"165491", 12.47, 1,    6916.39,  -40.3,   0.96067, 0, 0, 0, 0, 0, 0, 0, 0
"165490", 12.47, 1,    6915.98,  -40.3,   0.96061, 0, 0, 0, 0, 0, 0, 0, 0
"165494", 12.47, 1,    6915.56,  -40.3,   0.96055, 0, 0, 0, 0, 0, 0, 0, 0
"165492", 12.47, 1,    6915.47,  -40.3,   0.96054, 0, 0, 0, 0, 0, 0, 0, 0
"165493", 12.47, 1,    6915.24,  -40.3,   0.96051, 0, 0, 0, 0, 0, 0, 0, 0
"283952", 12.47, 1,       6917,  -40.4,   0.96075, 2,    6937.98, -160.1,   0.96367, 3,    6906.77,   79.8,   0.95933
"165500", 12.47, 1,    6916.19,  -40.4,   0.96064, 2,     6937.6, -160.2,   0.96361, 3,    6903.98,   79.7,   0.95894
"165501", 12.47, 1,    6916.18,  -40.4,   0.96064, 2,    6937.59, -160.2,   0.96361, 3,    6903.97,   79.7,   0.95894
"165495", 12.47, 1,    6916.23,  -40.4,   0.96065, 2,    6937.63, -160.2,   0.96362, 3,    6904.02,   79.7,   0.95895
"165503", 12.47, 1,    6916.07,  -40.4,   0.96062, 2,    6937.48, -160.2,    0.9636, 3,    6903.86,   79.7,   0.95893
"165504", 12.47, 1,    6862.39,  -40.8,   0.95317, 2,    6891.81, -160.4,   0.95726, 3,    6839.89,   79.4,   0.95004
"181883", 12.47, 1,    6856.12,  -41.0,    0.9523, 2,    6885.85, -160.6,   0.95643, 3,    6832.35,   79.2,     0.949
"158676", 12.47, 1,    6856.12,  -41.0,    0.9523, 2,    6885.85, -160.6,   0.95643, 3,    6832.35,   79.2,     0.949
"181889", 12.47, 1,    6853.42,  -41.0,   0.95192, 2,     6882.9, -160.6,   0.95602, 3,    6830.07,   79.2,   0.94868
