Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    64511.7,   -8.3,   0.97163, 2,    64523.7, -128.3,   0.97181, 3,    64527.7,  111.7,   0.97187
"CKT7", 12.47, 1,    6986.52,  -38.5,   0.97041, 2,    6986.13, -158.5,   0.97036, 3,    6987.89,   81.5,    0.9706
"318405", 12.47, 1,    6986.52,  -38.5,   0.97041, 2,    6986.13, -158.5,   0.97036, 3,    6987.89,   81.5,    0.9706
"318412", 12.47, 1,    6986.52,  -38.5,   0.97041, 2,    6986.13, -158.5,   0.97036, 3,    6987.89,   81.5,    0.9706
"318414", 12.47, 1,    6986.52,  -38.5,   0.97041, 2,    6986.13, -158.5,   0.97036, 3,    6987.89,   81.5,    0.9706
"157345", 12.47, 1,    6982.71,  -38.5,   0.96988, 2,    6985.72, -158.5,    0.9703, 3,    6984.52,   81.5,   0.97013
"157346", 12.47, 1,    6982.71,  -38.5,   0.96988, 2,    6985.72, -158.5,    0.9703, 3,    6984.53,   81.5,   0.97013
"165442", 12.47, 1,    6982.63,  -38.5,   0.96987, 2,     6985.7, -158.5,    0.9703, 3,    6984.41,   81.5,   0.97012
"298160", 12.47, 1,    6978.48,  -38.5,   0.96929, 2,    6983.77, -158.5,   0.97003, 3,    6978.76,   81.5,   0.96933
"165448", 12.47, 1,     6976.1,  -38.6,   0.96896, 2,    6982.83, -158.5,    0.9699, 3,    6976.55,   81.5,   0.96902
"275354", 12.47, 1,    6968.57,  -38.7,   0.96792, 2,    6978.96, -158.5,   0.96936, 3,    6966.56,   81.4,   0.96764
"165449", 12.47, 1,    6967.99,  -38.7,   0.96784, 2,    6978.68, -158.5,   0.96932, 3,    6965.78,   81.4,   0.96753
"165450", 12.47, 1,    6967.99,  -38.7,   0.96784, 2,    6978.68, -158.5,   0.96932, 3,    6965.78,   81.4,   0.96753
"165453", 12.47, 1,     6965.1,  -38.7,   0.96743, 2,     6976.6, -158.6,   0.96903, 3,    6962.25,   81.4,   0.96704
"165454", 12.47, 1,    6964.52,  -38.7,   0.96735, 2,       6976, -158.6,   0.96895, 3,    6961.66,   81.4,   0.96696
"165451", 12.47, 1,    6966.01,  -38.7,   0.96756, 2,    6977.71, -158.6,   0.96919, 3,    6963.11,   81.4,   0.96716
"238402", 12.47, 1,    6964.15,  -38.7,    0.9673, 2,    6975.63, -158.6,    0.9689, 3,    6961.28,   81.4,    0.9669
"165455", 12.47, 1,    6961.61,  -38.7,   0.96695, 2,    6973.09, -158.6,   0.96854, 3,    6958.75,   81.4,   0.96655
"165456", 12.47, 1,    6961.63,  -38.7,   0.96695, 2,    6973.11, -158.6,   0.96855, 3,    6958.76,   81.4,   0.96655
"165452", 12.47, 1,    6962.61,  -38.7,   0.96709, 2,     6974.1, -158.6,   0.96868, 3,    6959.75,   81.4,   0.96669
"283563", 12.47, 1,    6961.82,  -38.7,   0.96698, 2,     6973.3, -158.6,   0.96857, 3,    6958.95,   81.4,   0.96658
"165457", 12.47, 1,    6961.52,  -38.7,   0.96694, 2,       6973, -158.6,   0.96853, 3,    6958.66,   81.4,   0.96654
"165458", 12.47, 1,    6965.14,  -38.7,   0.96744, 2,    6976.83, -158.6,   0.96906, 3,    6962.23,   81.4,   0.96704
"165459", 12.47, 1,    6965.18,  -38.7,   0.96745, 2,    6976.87, -158.6,   0.96907, 3,    6962.27,   81.4,   0.96704
"165460", 12.47, 1,    6964.93,  -38.7,   0.96741, 2,    6976.62, -158.6,   0.96904, 3,    6962.02,   81.4,   0.96701
"165461", 12.47, 1,       6962,  -38.7,     0.967, 2,    6973.69, -158.6,   0.96863, 3,    6959.09,   81.4,    0.9666
"165463", 12.47, 1,    6961.09,  -38.7,   0.96688, 2,    6972.78, -158.6,    0.9685, 3,    6958.18,   81.4,   0.96647
"165462", 12.47, 1,    6960.39,  -38.7,   0.96678, 2,    6972.08, -158.6,    0.9684, 3,    6957.48,   81.4,   0.96638
"165465", 12.47, 1,    6961.02,  -38.7,   0.96687, 2,     6972.7, -158.6,   0.96849, 3,    6958.11,   81.4,   0.96646
"165466", 12.47, 1,       6962,  -38.7,     0.967, 2,    6973.68, -158.6,   0.96863, 3,    6959.09,   81.4,    0.9666
"165467", 12.47, 1,    6961.16,  -38.7,   0.96689, 2,    6975.38, -158.6,   0.96886, 3,     6957.7,   81.4,   0.96641
"165468", 12.47, 1,    6960.79,  -38.7,   0.96684, 2,    6975.37, -158.6,   0.96886, 3,    6957.05,   81.3,   0.96632
"165475", 12.47, 1,    6968.19,  -38.7,   0.96786, 2,    6982.52, -158.5,   0.96985, 3,    6964.16,   81.4,    0.9673
"165476", 12.47, 1,    6968.25,  -38.7,   0.96787, 2,    6982.56, -158.5,   0.96986, 3,    6964.23,   81.4,   0.96731
"165477", 12.47, 1,     6967.9,  -38.7,   0.96782, 2,     6982.2, -158.5,   0.96981, 3,    6963.87,   81.4,   0.96726
"273626", 12.47, 1,    6965.83,  -38.7,   0.96754, 2,    6980.31, -158.5,   0.96955, 3,    6961.81,   81.4,   0.96698
"165469", 12.47, 1,    6960.44,  -38.8,   0.96679, 2,    6975.36, -158.6,   0.96886, 3,    6956.42,   81.3,   0.96623
"165480", 12.47, 1,    6959.85,  -38.8,   0.96671, 2,    6975.38, -158.6,   0.96886, 3,    6955.36,   81.3,   0.96608
"165478", 12.47, 1,    6959.44,  -38.8,   0.96665, 2,    6975.39, -158.6,   0.96886, 3,    6954.62,   81.3,   0.96598
