Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    415.442,   153.39,    415.072,    33.42,    415.426,   -86.55,          0,     0.00, 6.00685E-8,    97.13,    415.442,   -26.61,    415.072,  -146.58,    415.426,    93.45,          0,     0.00, 6.00685E-8,   -82.87
Transformer.SUB1,    138.481,   -26.61,    138.357,  -146.58,    138.475,    93.45,          0,     0.00, 2.57244E-12,    45.00,    1279.01,   123.39,    1276.16,     3.47,     1274.9,  -116.60,    5.18539,   -80.47, 1.64051E-8,    98.83
Transformer.SUB2,    138.481,   -26.61,    138.357,  -146.58,    138.475,    93.45,          0,     0.00, 2.57244E-12,    45.00,    1279.01,   123.39,    1276.16,     3.47,     1274.9,  -116.60,    5.18539,   -80.47, 1.64051E-8,    98.83
Transformer.SUB3,    138.481,   -26.61,    138.357,  -146.58,    138.475,    93.45,          0,     0.00, 2.57244E-12,    45.00,    1279.01,   123.39,    1276.16,     3.47,     1274.9,  -116.60,    5.18539,   -80.47, 1.64051E-8,    98.83
Line.326,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00, 7.88254E-8,    50.67, 7.88361E-8,    -9.32,          0,     0.00,          0,     0.00, 1.36544E-7,    20.67
Line.333,    273.274,   -44.59,    243.353,  -161.90,    271.154,    75.55,          0,     0.00,    31.3433,    -8.95,    273.274,   135.41,    243.353,    18.10,    271.154,  -104.45,          0,     0.00,    31.3433,   171.05
Line.335,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00, 7.88254E-8,    50.67, 7.88361E-8,    -9.32,          0,     0.00,          0,     0.00, 1.36544E-7,    20.67
Line.150394,    2.56318,   115.09,    2.56385,    -4.93,    2.56298,  -124.93,          0,     0.00, 2.56708E-9,   -57.03,    2.56318,   -64.91,    2.56385,   175.07,    2.56298,    55.07,          0,     0.00, 1.97906E-9,   118.07
Line.157109,     269.72,   -44.31,    239.797,  -161.54,    267.487,    75.84,          0,     0.00,    31.3662,    -9.14,     269.72,   135.69,    239.797,    18.46,    267.487,  -104.16,          0,     0.00,    31.3662,   170.86
Line.157115,     269.72,   -44.31,    238.031,  -161.36,    267.487,    75.84,          0,     0.00,     33.282,    -8.88,     269.72,   135.69,    238.031,    18.64,    267.487,  -104.16,          0,     0.00,     33.282,   171.12
Line.157116,  0.0462419,  -110.16,  7.5039E-8,   -69.89, 7.48676E-8,   170.08,          0,     0.00,   0.046242,  -110.16,   0.046242,    69.84, 3.63798E-12,    90.00, 3.63798E-11,    53.13,          0,     0.00,   0.046242,    69.84
Line.157118,    21.2326,   -65.40,    21.3933,   174.60,    21.4795,    54.60,          0,     0.00,   0.214526,    94.17,    21.2326,   114.60,    21.3933,    -5.40,    21.4795,  -125.40,          0,     0.00,   0.214526,   -85.83
Line.157119,    269.701,   -44.30,     236.84,  -161.23,    267.487,    75.84,          0,     0.00,    34.5906,    -8.66,    269.701,   135.70,     236.84,    18.77,    267.487,  -104.16,          0,     0.00,    34.5906,   171.34
Line.157120,    20.0028,   -65.39,    20.0906,   174.60,    20.1269,    54.58,          0,     0.00,   0.107252,    94.21,    20.0028,   114.61,    20.0906,    -5.40,    20.1269,  -125.42,          0,     0.00,   0.107252,   -85.79
Line.157121,    5.11572,   114.82,    5.12027,    -5.22,    5.11511,  -125.24,          0,     0.00,  2.2506E-8,   -35.95,    5.11572,   -65.18,    5.12027,   174.78,    5.11511,    54.76,          0,     0.00, 2.24118E-8,   143.87
Line.157122,    13.6572,   -65.47,    13.6677,   174.52,    13.6594,    54.49,          0,     0.00, 6.05333E-8,   144.04,    13.6572,   114.53,    13.6677,    -5.48,    13.6594,  -125.51,          0,     0.00, 6.09003E-8,   -35.95
Line.157123,    5.11572,   -65.18,    5.12027,   174.78,    5.11511,    54.76,          0,     0.00, 2.30912E-8,   144.08,    5.11572,   114.82,    5.12027,    -5.22,    5.11511,  -125.24,          0,     0.00, 2.30912E-8,   -35.92
Line.157124,    16.2453,   114.66,    16.2602,    -5.38,    16.2428,  -125.41,          0,     0.00, 8.47237E-8,   -36.44,    16.2453,   -65.34,    16.2602,   174.62,    16.2428,    54.59,          0,     0.00,  8.4048E-8,   143.52
Line.157126,    16.2453,   -65.34,    16.2602,   174.62,    16.2428,    54.59,          0,     0.00, 8.53228E-8,   143.91,    16.2453,   114.66,    16.2602,    -5.38,    16.2428,  -125.41,          0,     0.00, 8.53228E-8,   -36.09
Line.157127,    13.6845,   -65.35,    13.6974,   174.61,    13.6818,    54.58,          0,     0.00, 7.35557E-8,   143.94,    13.6845,   114.65,    13.6974,    -5.39,    13.6818,  -125.42,          0,     0.00, 7.35557E-8,   -36.06
Line.157128,    13.6432,   -65.12,    13.6559,   174.83,    13.6404,    54.81,          0,     0.00, 6.19045E-8,   143.91,    13.6432,   114.88,    13.6559,    -5.17,    13.6404,  -125.19,          0,     0.00, 6.19045E-8,   -36.09
Line.157129,    8.52434,   -64.96,    8.53297,   174.98,    8.52104,    54.96,          0,     0.00, 3.88007E-8,   143.98,    8.52434,   115.04,    8.53297,    -5.02,    8.52104,  -125.04,          0,     0.00, 3.88007E-8,   -36.02
Line.157130,    5.11894,   114.61,    5.12302,    -5.41,    5.11943,  -125.44,          0,     0.00, 2.32641E-8,   -36.24,    5.11894,   -65.39,    5.12302,   174.59,    5.11943,    54.56,          0,     0.00, 2.32641E-8,   143.76
Line.157131,  0.0683146,  -118.00,   0.068372,   122.03,  0.0683741,     1.97,          0,     0.00, 1.16404E-8,   143.91,  0.0683146,    62.00,   0.068372,   -57.97,  0.0683741,  -178.03,          0,     0.00, 1.16404E-8,   -36.09
Line.157132,    235.116,   -41.02,     199.64,  -156.35,    232.731,    79.21,          0,     0.00,    38.5228,    -8.59,    235.116,   138.98,     199.64,    23.65,    232.731,  -100.79,          0,     0.00,    38.5228,   171.41
Line.157133,    233.997,   -40.89,     199.64,  -156.35,    232.731,    79.21,          0,     0.00,    37.8626,    -7.04,    233.997,   139.11,     199.64,    23.65,    232.731,  -100.79,          0,     0.00,    37.8626,   172.96
Line.157136,    12.7709,   -64.64,    12.7873,   175.27,    12.7616,    55.26,          0,     0.00, 6.90378E-8,   143.71,    12.7709,   115.36,    12.7873,    -4.73,    12.7616,  -124.74,          0,     0.00, 6.87124E-8,   -36.25
