Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    64817.3,   -7.8,   0.97623, 2,    64827.6, -127.8,   0.97639, 3,    64828.4,  112.2,    0.9764
"CKT7", 12.47, 1,    7019.84,  -38.0,   0.97504, 2,    7019.79, -158.0,   0.97503, 3,    7021.02,   82.0,    0.9752
"318405", 12.47, 1,    7019.84,  -38.0,   0.97504, 2,    7019.79, -158.0,   0.97503, 3,    7021.02,   82.0,    0.9752
"318412", 12.47, 1,    7019.84,  -38.0,   0.97504, 2,    7019.79, -158.0,   0.97503, 3,    7021.02,   82.0,    0.9752
"318414", 12.47, 1,    7019.84,  -38.0,   0.97504, 2,    7019.79, -158.0,   0.97503, 3,    7021.02,   82.0,    0.9752
"157345", 12.47, 1,    7015.86,  -38.0,   0.97448, 2,    7019.18, -158.0,   0.97495, 3,    7017.59,   82.0,   0.97472
"157346", 12.47, 1,    7015.86,  -38.0,   0.97449, 2,    7019.19, -158.0,   0.97495, 3,    7017.59,   82.0,   0.97473
"165442", 12.47, 1,    7015.78,  -38.0,   0.97447, 2,    7019.16, -158.0,   0.97494, 3,    7017.47,   82.0,   0.97471
"298160", 12.47, 1,    7011.32,  -38.1,   0.97385, 2,    7017.05, -158.0,   0.97465, 3,    7011.64,   82.0,    0.9739
"165448", 12.47, 1,    7008.87,  -38.1,   0.97351, 2,    7016.03, -158.0,   0.97451, 3,    7009.39,   82.0,   0.97359
"275354", 12.47, 1,    7000.93,  -38.2,   0.97241, 2,    7011.94, -158.1,   0.97394, 3,    6999.21,   81.9,   0.97217
"165449", 12.47, 1,    7000.32,  -38.2,   0.97233, 2,    7011.64, -158.1,    0.9739, 3,    6998.41,   81.9,   0.97206
"165450", 12.47, 1,    7000.32,  -38.2,   0.97233, 2,    7011.64, -158.1,    0.9739, 3,    6998.41,   81.9,   0.97206
"165453", 12.47, 1,    6997.35,  -38.2,   0.97191, 2,    7009.54, -158.1,   0.97361, 3,    6994.86,   81.8,   0.97157
"165454", 12.47, 1,    6996.79,  -38.2,   0.97184, 2,    7008.96, -158.1,   0.97353, 3,    6994.29,   81.8,   0.97149
"165451", 12.47, 1,    6998.23,  -38.2,   0.97204, 2,    7010.61, -158.1,   0.97376, 3,    6995.69,   81.8,   0.97168
"238402", 12.47, 1,    6996.43,  -38.2,   0.97179, 2,     7008.6, -158.1,   0.97348, 3,    6993.93,   81.8,   0.97144
"165455", 12.47, 1,    6993.97,  -38.2,   0.97144, 2,    7006.14, -158.1,   0.97314, 3,    6991.47,   81.8,    0.9711
"165456", 12.47, 1,    6993.99,  -38.2,   0.97145, 2,    7006.16, -158.1,   0.97314, 3,    6991.49,   81.8,    0.9711
"165452", 12.47, 1,    6994.95,  -38.2,   0.97158, 2,    7007.12, -158.1,   0.97327, 3,    6992.44,   81.8,   0.97123
"283563", 12.47, 1,    6994.18,  -38.2,   0.97147, 2,    7006.35, -158.1,   0.97316, 3,    6991.67,   81.8,   0.97113
"165457", 12.47, 1,    6993.89,  -38.2,   0.97143, 2,    7006.06, -158.1,   0.97312, 3,    6991.38,   81.8,   0.97109
"165458", 12.47, 1,    6997.39,  -38.2,   0.97192, 2,    7009.77, -158.1,   0.97364, 3,    6994.85,   81.8,   0.97157
"165459", 12.47, 1,    6997.43,  -38.2,   0.97193, 2,    7009.81, -158.1,   0.97364, 3,    6994.89,   81.8,   0.97157
"165460", 12.47, 1,    6997.19,  -38.2,   0.97189, 2,    7009.57, -158.1,   0.97361, 3,    6994.65,   81.8,   0.97154
"165461", 12.47, 1,    6994.35,  -38.2,    0.9715, 2,    7006.72, -158.1,   0.97322, 3,     6991.8,   81.8,   0.97114
"165463", 12.47, 1,    6993.46,  -38.2,   0.97137, 2,    7005.83, -158.1,   0.97309, 3,    6990.91,   81.8,   0.97102
"165462", 12.47, 1,    6992.79,  -38.2,   0.97128, 2,    7005.16, -158.1,     0.973, 3,    6990.24,   81.8,   0.97093
"165465", 12.47, 1,    6993.39,  -38.2,   0.97136, 2,    7005.76, -158.1,   0.97308, 3,    6990.84,   81.8,   0.97101
"165466", 12.47, 1,    6994.34,  -38.2,    0.9715, 2,    7006.71, -158.1,   0.97321, 3,    6991.79,   81.8,   0.97114
