SmartMeter_ID,Load_Name,Bus1,Base_Bus,Phases,kV,kW,pf,xfkVA
SM_1,0862099-D1,S1X_0862099,S1X_0862099,3,0.208,0.0001,0.9,50
SM_2,0862099-D2,S2X_0862099,S2X_0862099,3,0.208,0.0001,0.9,50
SM_3,0862099-D3,S3X_0862099,S3X_0862099,3,0.208,0.0001,0.9,50
SM_4,1000663-DA1,S1X_1000663.1,S1X_1000663,1,0.24,0.0001,0.9,25
SM_5,1000663-DB1,S1X_1000663.2,S1X_1000663,1,0.24,0.0001,0.9,25
SM_6,1000663-DC1,S1X_1000663.3,S1X_1000663,1,0.24,0.0001,0.9,25
SM_7,1000252-DB1,S1X_1000252.2,S1X_1000252,1,0.24,0.0001,0.9,37
SM_8,1001746-D1,S1X_1001746,S1X_1001746,3,0.208,0.0001,0.9,100
SM_9,1001746-D2,S2X_1001746,S2X_1001746,3,0.208,0.0001,0.9,100
SM_10,1001746-D3,S3X_1001746,S3X_1001746,3,0.208,0.0001,0.9,100
SM_11,1000502-DB1,S1X_1000502.2,S1X_1000502,1,0.24,0.0001,0.9,75
SM_12,1000824-DA1,S1X_1000824.1,S1X_1000824,1,0.24,0.0001,0.9,8.333333
SM_13,1000824-DA2,S2X_1000824.1,S2X_1000824,1,0.24,0.0001,0.9,8.333333
SM_14,1000824-DA3,S3X_1000824.1,S3X_1000824,1,0.24,0.0001,0.9,8.333333
SM_15,1000824-DB1,S1X_1000824.2,S1X_1000824,1,0.24,0.0001,0.9,8.333333
SM_16,1000824-DB2,S2X_1000824.2,S2X_1000824,1,0.24,0.0001,0.9,8.333333
SM_17,1000824-DB3,S3X_1000824.2,S3X_1000824,1,0.24,0.0001,0.9,8.333333
SM_18,1000824-DC1,S1X_1000824.3,S1X_1000824,1,0.24,0.0001,0.9,8.333333
SM_19,1000824-DC2,S2X_1000824.3,S2X_1000824,1,0.24,0.0001,0.9,8.333333
SM_20,1000824-DC3,S3X_1000824.3,S3X_1000824,1,0.24,0.0001,0.9,8.333333
SM_21,1001745-D1,S1X_1001745,S1X_1001745,3,0.208,0.0001,0.9,100
SM_22,1001745-D2,S2X_1001745,S2X_1001745,3,0.208,0.0001,0.9,100
SM_23,1001745-D3,S3X_1001745,S3X_1001745,3,0.208,0.0001,0.9,100
SM_24,1001329-D1,S1X_1001329,S1X_1001329,3,0.208,0.0001,0.9,50
SM_25,1001329-D2,S2X_1001329,S2X_1001329,3,0.208,0.0001,0.9,50
SM_26,1001329-D3,S3X_1001329,S3X_1001329,3,0.208,0.0001,0.9,50
SM_27,1001359-D1,S1X_1001359,S1X_1001359,3,0.208,0.0001,0.9,166.67
SM_28,1001359-D2,S2X_1001359,S2X_1001359,3,0.208,0.0001,0.9,166.67
SM_29,1001359-D3,S3X_1001359,S3X_1001359,3,0.208,0.0001,0.9,166.67
SM_30,1001330-D1,S1X_1001330,S1X_1001330,3,0.208,0.0001,0.9,50
SM_31,1001330-D2,S2X_1001330,S2X_1001330,3,0.208,0.0001,0.9,50
SM_32,1001330-D3,S3X_1001330,S3X_1001330,3,0.208,0.0001,0.9,50
SM_33,1001330-D4,S4X_1001330,S4X_1001330,3,0.208,0.0001,0.9,50
SM_34,1001330-D5,S5X_1001330,S5X_1001330,3,0.208,0.0001,0.9,50
SM_35,1001330-D6,S6X_1001330,S6X_1001330,3,0.208,0.0001,0.9,50
SM_36,1000672-DA1,S1X_1000672.1,S1X_1000672,1,0.24,0.0001,0.9,25
SM_37,1001708-D1,S1X_1001708,S1X_1001708,3,0.208,0.0001,0.9,250
SM_38,1001708-D2,S2X_1001708,S2X_1001708,3,0.208,0.0001,0.9,250
SM_39,1001708-D3,S3X_1001708,S3X_1001708,3,0.208,0.0001,0.9,250
SM_40,1001345-D1,S1X_1001345,S1X_1001345,3,0.208,0.0001,0.9,50
SM_41,1001345-D2,S2X_1001345,S2X_1001345,3,0.208,0.0001,0.9,50
SM_42,1001345-D3,S3X_1001345,S3X_1001345,3,0.208,0.0001,0.9,50
SM_43,1000933-D1,S1X_1000933,S1X_1000933,3,0.208,0.0001,0.9,10
SM_44,1000933-D2,S2X_1000933,S2X_1000933,3,0.208,0.0001,0.9,10
SM_45,1000933-D3,S3X_1000933,S3X_1000933,3,0.208,0.0001,0.9,10
SM_46,1000933-D4,S4X_1000933,S4X_1000933,3,0.208,0.0001,0.9,10
SM_47,1000933-D5,S5X_1000933,S5X_1000933,3,0.208,0.0001,0.9,10
SM_48,1000933-D6,S6X_1000933,S6X_1000933,3,0.208,0.0001,0.9,10
SM_49,1000933-D7,S7X_1000933,S7X_1000933,3,0.208,0.0001,0.9,10
SM_50,1000933-D8,S8X_1000933,S8X_1000933,3,0.208,0.0001,0.9,10
SM_51,1000933-D9,S9X_1000933,S9X_1000933,3,0.208,0.0001,0.9,10
SM_52,1000933-D10,S10X_1000933,S10X_1000933,3,0.208,0.0001,0.9,10
