sample_id,load_level,time_of_day,cap_CP_NR_613,cap_CP_85W_900,converged,RFI1_A,RFI1_B,RFI1_C,RFI2_A,RFI2_B,RFI2_C,RFI3_A,RFI3_B,RFI3_C,RFI4_A,RFI4_B,RFI4_C,RFI5_A,RFI5_B,RFI5_C,RFI6_A,RFI6_B,RFI6_C,RFI7_A,RFI7_B,RFI7_C,RFI8_A,RFI8_B,RFI8_C,RFI9_A,RFI9_B,RFI9_C,RFI10_A,RFI10_B,RFI10_C,RFI11_A,RFI11_B,RFI11_C,RFI12_A,RFI12_B,RFI12_C,RFI13_A,RFI13_B,RFI13_C,RFI14_A,RFI14_B,RFI14_C,RFI15_A,RFI15_B,RFI15_C,RFI16_A,RFI16_B,RFI16_C,RFI17_A,RFI17_B,RFI17_C,RFI18_A,RFI18_B,RFI18_C,RFI19_A,RFI19_B,RFI19_C,RFI20_A,RFI20_B,RFI20_C
N0001,1.0,peak,True,True,True,969.7630142693488,1021.619857469712,995.8823022223039,828.5113933944999,878.8647360399141,854.4596840352157,828.5113934609533,881.8221435791751,854.4596841000442,409.0896487707952,463.3241955782136,427.9579364168681,369.40538029704254,406.4035812230673,371.27637599718565,117.5779313717338,118.28246263285209,122.7935142794598,36.66375521735398,36.78103638276756,36.60499073394487,184.8502373660201,173.0581417525498,179.75083700583463,189.37499452067183,179.15018270923238,185.3336679174955,120.72695888409895,111.58856254661427,116.52536823674468,123.33916558641367,114.0506129445253,119.06338533018999,24.986925183524978,25.08199642168263,30.550711985544357,11.097339852236994,11.168899803291994,11.09932376331,29.447527919805594,29.495565663317304,29.44933266956476,118.73347836534153,118.0808454805507,118.97051874412506,47.81884100063538,45.76912301829837,48.53443356912408,63.85936116623527,68.18870958794166,55.54592849191118,52.806406629032246,57.109164811027554,44.453082494921134,76.08816320702523,78.79072531721941,77.77533338194323,7.79894406506504e-08,7.885878487621098e-08,7.712734719457312e-08
N0002,0.2,overnight,False,False,True,1294.5542327546414,1305.9949145126122,1299.1319043486972,1153.2057533027064,1164.568970694117,1157.791494125815,1153.2057533390357,1165.2295532749245,1157.7914941615559,678.8400801258766,691.9597647248231,682.2454691377974,616.3421029232616,625.1252582482814,615.3579905105801,131.79744939377252,131.93470588538557,132.78324139261417,7.835441566704694,7.526659890586313,7.680945975918513,198.88523181699784,196.6720929425385,197.88213029873165,198.89266592939552,196.6793617432106,197.88213063970628,131.24374162187647,129.2000984607066,130.21597911945793,131.80927060577014,129.76276130606203,130.7789387180266,5.096039764931847,5.161324813446419,6.238903123485267,2.2594382042369747,2.322315600962793,2.2603703834971975,6.264242752478133,6.2674137046686615,6.264511636740006,135.38879894174343,135.23281630563056,135.37359336965588,63.39201912770289,62.77875770752326,63.42815771575443,13.021932789488483,13.971760959204765,11.371887109794873,10.794446470017862,11.742142142021713,9.092365950509022,50.442980574317296,50.32833865001435,50.54699253252554,8.57294812014256e-08,8.610928613767803e-08,8.502744711075638e-08
N0003,0.2,overnight,False,False,True,1294.5540840209846,1305.9944674149986,1299.132042360155,1153.2055704200657,1164.5684855836312,1157.7916030967333,1153.2055704546954,1165.2290684041661,1157.7916031324378,678.8398336820319,691.959257587987,682.2454304876314,616.3418507608186,625.12475267455,615.3579298188813,131.79740773330974,131.9346211812403,132.78323244552178,7.835441309782561,7.526659644982981,7.680945827878116,198.88513527015624,196.67190951209105,197.88209662052282,198.89256938741013,196.67917832218924,197.88209696142874,131.24367356642583,129.19997074139528,130.21595260118994,131.8092025830987,129.76263369703526,130.7789123113371,5.096039858360486,5.161324791971305,6.238903100803978,2.259438266190483,2.322315590957724,2.260370328981814,6.264243180766349,6.267414335677612,6.264512083946979,135.38882063756128,135.23282780852125,135.3736387016416,63.3919977744365,62.778714397140234,63.42815277419688,13.02193262356499,13.971761133227526,11.371887408380918,10.79444622930016,11.742142305888436,9.09236627074857,50.44295682417485,50.32828788450408,50.54698879353285,8.54642871072835e-08,8.598363587824056e-08,8.508502718560136e-08
N0004,0.75,afternoon,False,True,True,1072.157960268327,1112.140065047881,1090.6293221283752,931.1493097690011,970.2881472433075,949.5415046202811,931.149309827089,972.5591221036351,949.5415046775049,495.9683227390177,539.1454577974022,509.3926055406161,450.27295254844574,479.5008090473156,449.8006343355075,121.53848431830775,122.05898990661241,125.37880962112777,27.73592667486151,27.811739758761842,27.694114383081157,189.03213969580673,180.08577561471634,184.99563642094563,191.69189463204177,183.87346082411648,188.43752920701422,123.53343321456357,116.45857793307005,120.17064180631613,125.52713235459194,118.37303358047242,122.12403904684831,18.93222275717101,19.0164210989586,23.14958300569548,8.40719392788211,8.475420868428124,8.40810434066786,22.266936729979285,22.298452930602043,22.267876429094716,123.36351190265472,122.8358979121399,123.46421158722428,52.06011070288017,50.23647541420586,52.468148513392926,48.38877496101186,51.68482908533088,42.10459575669153,40.021047949021,43.30001142329994,33.69345755718196,45.13482414020005,46.24625562510974,45.92096799349552,8.050839702483409e-08,8.117423832367371e-08,7.972069898842262e-08
N0005,0.5,morning,False,False,True,1181.306414447822,1208.1442251061053,1193.1584635173485,1040.6730556861908,1067.0519591366387,1052.4965845784664,1040.6730557397939,1068.5810174494266,1052.4965846318087,588.9725750278647,618.126536054176,597.595973446755,535.9654975494972,555.4692352235862,535.026838429642,126.47185300528687,126.81970048936225,129.01599353915017,18.746144413515147,18.783575605067462,18.72303686762938,195.688853072296,190.35323946322657,193.39743631700128,195.69489574537775,190.35886805974155,193.39743679260724,127.49233783845867,122.61189000992111,125.12204395356333,128.8534349399002,123.9402388379785,126.46608325007335,12.793093483135687,12.86553897919052,15.644574883907751,5.679780997710837,5.744315320780742,5.679886312186692,15.03056615633048,15.046263756942924,15.030657922375477,128.9314393440606,128.55822460176475,128.96135774863845,57.130371475508426,55.75816965949826,57.33305533002349,32.72681208635625,34.9700031108999,28.49509985630696,27.07561228870538,29.310602893129534,22.797307979688192,37.11281202120601,37.41414516779191,37.7025805060352,8.234826129245729e-08,8.298937862367819e-08,8.181077940865185e-08
N0006,0.5,morning,False,False,True,1181.30568943023,1208.1468604754525,1193.1574276784909,1040.672275756719,1067.0546215415773,1052.49545730716,1040.6722758097314,1068.58367998772,1052.4954573595744,588.9717380100913,618.1286027456557,597.5950574364394,535.9646636612292,555.4711893473645,535.0259726399822,126.47170723069526,126.82004137807823,129.01584707261517,18.746146030756478,18.78357319144574,18.723039230744888,195.68854477509868,190.35391642741916,193.39712806942552,195.69458746134774,190.35954502414805,193.39712854503097,127.49212215167812,122.6123451320623,125.1218377314542,128.8532185068055,123.94069661438627,126.46587548094236,12.793096049167485,12.865535394878624,15.644572021375597,5.6797825356323735,5.744312860699057,5.679886417025973,15.030569784487204,15.046263062944423,15.030659955402662,128.93146357316908,128.5583890857228,128.96130144069213,57.13029397437522,55.758344431513294,57.33297876606028,32.72680935665986,34.9700196256071,28.49509074070773,27.075608333455673,29.310620966487328,22.797298511386018,37.11273129707797,37.41427871683989,37.70251084425734,8.23031484287117e-08,8.3035919116891e-08,8.175284106890238e-08
N0007,0.2,overnight,False,False,True,1294.6702211725808,1305.7883494543994,1299.0339142847001,1153.323997208535,1164.3633489279016,1157.6971082528914,1153.323997245197,1165.023841667407,1157.6971082884206,678.9518799899125,691.7523648376279,682.1460273061784,616.4514849048209,624.9178875403617,615.2585554332085,131.80529450077873,131.93920176084615,132.79434870476243,7.828651530593427,7.836037935202573,7.824184070371447,198.89857060797146,196.67862064816805,197.89963259495102,198.9060041450261,196.6858891097812,197.89963293589634,131.25266937129467,129.20447534941977,130.2277120912546,131.81816503754916,129.76711694364678,130.79062203746318,5.09581035155877,5.161118882189508,6.238358458165292,2.2593392125526184,2.3222216455431375,2.2601693434056154,6.264234438932332,6.2673704137484005,6.264363607950926,135.39400021689414,135.23484409375695,135.3803082838439,63.39603903597204,62.78110995471971,63.43396418102102,13.021272888294916,13.971225885973393,11.37090504996726,10.793885670992836,11.741698844146086,9.091587420695358,50.56549789628755,50.33017556495047,50.364678800764594,8.556641974861942e-08,8.582709855997689e-08,8.513685774300765e-08
N0008,0.5,morning,False,False,True,1181.3046703165928,1208.147153355184,1193.1579536550962,1040.6712514344465,1067.0549587248433,1052.4960197571813,1040.6712514886294,1068.5840169846954,1052.4960198105505,588.9709737975259,618.1288952268326,597.5956104290077,535.9639421922685,555.4714682060676,535.0265175969963,126.47157905033282,126.82008447575035,129.01594321024797,18.74614699571218,18.78357307668542,18.723038445062862,195.68828472472256,190.35401510941628,193.39733272190068,195.69432741063335,190.35964370847813,193.3973331975354,127.49194684793056,122.61241076496466,125.1219792706923,128.8530421715897,123.9407627783428,126.46601762887413,12.793097694068377,12.86553647456392,15.644571659803102,5.67978365253808,5.74431322603731,5.67988566272826,15.03056980299133,15.046262365345685,15.030658063336197,128.93139157958996,128.55840022157585,128.96129945745705,57.13022691543179,55.75836650362782,57.3330289406759,32.7268032529827,34.97002455567817,28.495092853511448,27.07560152937181,29.310625753022062,22.797301231849108,37.11268605628526,37.41429406686278,37.702557020308674,8.230180922041767e-08,8.307463233576432e-08,8.181639084661408e-08
N0009,0.75,afternoon,False,True,True,1072.1579617577365,1112.1400584418004,1090.6293225201553,931.1493113824426,970.2881407946873,949.5415054217782,931.1493114414292,972.5591156528608,949.5415054796881,495.96832446845406,539.1454528970866,509.3926067085688,450.2729542852282,479.5008044142471,449.80063551675374,121.53848453554411,122.05898911525382,125.37880975785704,27.735926685425333,27.811739734551082,27.694114354635,189.0321401121946,180.08577420473122,184.99563685083416,191.69189508262,183.8734593488358,188.43752965286706,123.53343353141231,116.45857694956375,120.17064211388097,125.52713267378657,118.37303258666785,122.124039357374,18.93222275272247,19.01642110209532,23.149582994333123,8.407193924970574,8.475420872710673,8.408104331881665,22.266936718136463,22.29845292358979,22.267876409173255,123.36351184891454,122.83589747764317,123.46421149052401,52.060110823358656,50.2364750271793,52.46814859893379,48.38877497330647,51.684829007497314,42.10459575900978,40.02104796340571,43.30001134528998,33.693457566894295,45.13482400185612,46.24625524106486,45.92096853069221,8.035078996726818e-08,8.130994620972256e-08,7.98369792569793e-08
N0010,0.5,morning,False,False,True,1181.3064144479067,1208.1442251071674,1193.158463517247,1040.673055688274,1067.0519591367938,1052.4965845796448,1040.6730557423018,1068.5810174492108,1052.4965846327705,588.9725750289979,618.1265360540878,597.5959734470995,535.9654975505473,555.4692352233675,535.0268384299948,126.47185300532978,126.8197004896915,129.01599353909322,18.746144413618744,18.78357560528032,18.7230368674853,195.68885307263054,190.35323946317385,193.39743631713196,195.69489574574547,190.35886805965148,193.39743679272095,127.49233783873935,122.61189001000227,125.12204395363128,128.85343494012244,123.9402388379458,126.46608325014493,12.793093483116616,12.865538979197,15.644574883915288,5.67978099770908,5.744315320763397,5.679886312191276,15.030566156329503,15.046263756938908,15.030657922383776,128.93143934491331,128.55822460213167,128.9613577485256,57.13037147559746,55.758169659445464,57.333055330054094,32.726812086386694,34.970003110919215,28.495099856308574,27.075612288747152,29.310602893123498,22.797307979703174,37.112812021318064,37.41414516774387,37.70258050601469,8.233946341272197e-08,8.303540620624497e-08,8.163138327229876e-08
