scenario_label,n_dg_buses,n_faults,avg_max_rfi_A,min_max_rfi_A,max_max_rfi_A,avg_rfi_all_A,avg_sm_outages_below_0.5pu,avg_sm_outages_below_0.8pu,avg_peak_SLG_A,avg_peak_LL_AB,avg_peak_3PH,avg_RFI1,avg_RFI2,avg_RFI3,avg_RFI4,avg_RFI5,avg_RFI6,avg_RFI7,avg_RFI8,avg_RFI9,avg_RFI10,avg_RFI11,avg_RFI12,avg_RFI13,avg_RFI14,avg_RFI15,avg_RFI16,avg_RFI17,avg_RFI18,avg_RFI19,avg_RFI20
DG_2pct,4,240,5984.64,0.06,35538.17,1292.43,497.38,688.75,5442.03,6310.35,6201.56,5822.38,4686.81,4025.76,2922.26,2589.45,508.8,255.87,989.36,779.65,590.9,420.04,277.75,127.25,347.1,400.8,252.53,415.21,198.59,238.08,0.0
DG_4pct,8,240,6164.94,0.15,35530.71,1342.63,489.76,693.0,5821.61,6461.38,6211.83,5833.4,4708.41,4054.82,3010.47,2663.85,649.72,278.82,1048.79,826.41,624.94,442.97,291.0,133.46,357.04,414.23,386.56,543.96,330.89,252.81,0.0
DG_6pct,12,240,6341.65,0.26,35572.1,1402.58,484.75,703.26,6177.83,6617.12,6230.01,5895.99,4778.88,4133.08,3130.18,2770.9,657.86,296.8,1196.18,1000.62,736.29,552.03,403.61,147.81,362.75,422.39,377.3,540.88,313.06,334.91,0.0
DG_8pct,16,240,6421.96,0.38,35618.94,1433.4,482.15,708.59,6332.9,6681.33,6251.66,5907.16,4797.74,4161.37,3189.38,2829.27,742.69,304.38,1252.05,1058.19,805.17,626.0,401.31,153.67,369.01,430.47,466.12,539.05,306.42,328.57,0.0
DG_10pct,20,240,6503.76,0.5,35668.13,1455.63,479.1,724.6,6488.87,6748.26,6274.16,5926.12,4822.24,4192.75,3241.0,2875.42,739.39,310.25,1299.41,1108.44,808.7,621.57,398.96,156.24,374.42,439.07,456.81,613.47,301.12,323.92,103.29
DG_12pct,24,240,6565.77,0.61,35724.48,1472.02,476.69,739.09,6604.17,6795.6,6297.55,5951.14,4852.92,4231.17,3287.46,2918.57,736.85,315.06,1339.89,1151.07,812.66,618.9,397.62,158.41,378.66,445.28,449.14,607.33,297.24,397.12,94.0
DG_14pct,28,240,6620.07,0.73,35766.04,1493.94,475.03,744.03,6703.49,6840.09,6316.62,5989.88,4907.34,4284.34,3341.46,2972.21,735.24,319.72,1375.32,1187.98,815.23,616.56,396.73,160.29,380.6,448.16,443.28,663.08,366.02,388.58,86.71
DG_16pct,32,240,6672.77,0.85,35813.24,1504.44,476.9,745.12,6782.89,6893.57,6341.86,6037.99,4953.74,4332.54,3376.0,2995.15,739.08,323.11,1375.85,1185.68,817.53,617.45,397.53,161.28,385.2,454.97,441.7,660.23,362.75,386.15,84.82
DG_18pct,36,240,6713.99,0.98,35864.29,1546.16,477.52,750.14,6829.8,6954.19,6357.97,6102.74,5020.05,4407.72,3442.02,3058.2,741.38,326.06,1477.24,1298.02,949.05,767.34,401.51,166.47,386.9,458.02,440.43,658.52,360.27,384.0,77.28
DG_20pct,40,240,6760.21,1.1,35908.94,1584.73,481.59,752.55,6885.28,7021.42,6373.93,6182.76,5104.39,4495.43,3522.68,3137.52,745.07,330.89,1538.01,1363.08,1028.22,855.42,406.8,169.66,387.31,459.54,438.55,656.76,357.39,442.64,72.55
DG_22pct,44,240,6826.08,1.22,35940.15,1608.35,487.32,753.66,6989.8,7095.73,6392.73,6252.49,5182.58,4582.82,3590.06,3197.49,749.5,336.66,1536.64,1358.11,1029.44,853.78,410.04,171.62,388.71,462.44,437.38,706.64,354.13,495.66,70.71
DG_24pct,48,240,6907.45,1.34,35967.55,1627.35,496.46,754.27,7126.4,7183.4,6412.55,6321.64,5259.99,4668.95,3667.75,3259.93,754.28,342.49,1538.43,1355.26,1031.15,852.68,413.27,173.54,389.46,464.58,436.72,706.09,352.04,489.65,69.03
DG_26pct,52,240,6969.21,1.46,35981.39,1654.66,506.98,756.25,7240.55,7236.09,6430.99,6379.88,5325.99,4743.63,3734.87,3306.29,757.79,345.08,1600.35,1390.15,1069.3,891.93,417.29,176.19,438.79,467.63,437.14,705.68,351.56,487.29,66.41
DG_28pct,56,240,7028.56,1.57,35962.62,1684.87,512.31,761.91,7354.74,7285.35,6445.59,6434.23,5390.58,4804.86,3809.34,3376.67,761.67,347.49,1662.33,1456.5,1108.73,930.93,422.24,179.22,437.54,468.31,437.46,705.41,351.22,485.08,127.67
DG_30pct,60,240,7083.13,1.68,35948.52,1718.68,518.1,779.66,7464.34,7326.08,6458.95,6489.1,5450.58,4871.61,3878.74,3453.58,764.51,349.69,1723.41,1521.82,1146.66,967.98,471.06,182.65,435.78,468.65,437.82,749.53,404.42,482.56,123.5
DG_32pct,64,240,7145.57,1.79,35947.83,1737.59,522.66,787.62,7581.08,7377.17,6478.47,6552.64,5518.12,4941.2,3946.15,3502.92,817.97,353.48,1724.59,1521.08,1148.93,968.02,473.15,183.87,435.34,470.53,438.95,749.03,403.43,480.42,122.08
DG_34pct,68,240,7192.12,1.89,35910.54,1755.74,526.18,796.55,7668.92,7413.8,6493.64,6603.45,5575.22,4985.18,3987.3,3547.25,819.34,355.05,1780.44,1552.51,1152.43,966.24,475.5,185.64,434.33,507.15,439.3,748.42,402.73,478.71,118.5
