zone,scenario_label,n_dg_buses,n_faults,avg_max_rfi_A,avg_sm_outages_below_0.5pu
1,DG_10pct,20,12,499.36,755.67
1,DG_12pct,24,12,610.48,735.67
1,DG_14pct,28,12,725.07,729.67
1,DG_16pct,32,12,832.64,727.67
1,DG_18pct,36,12,941.52,727.67
1,DG_20pct,40,12,1047.69,727.67
1,DG_22pct,44,12,1150.0,727.67
1,DG_24pct,48,12,1246.93,729.67
1,DG_26pct,52,12,1332.76,729.67
1,DG_28pct,56,12,1418.92,729.67
1,DG_2pct,4,12,84.41,755.67
1,DG_30pct,60,12,1495.54,735.67
1,DG_32pct,64,12,1572.79,747.67
1,DG_34pct,68,12,1642.84,755.67
1,DG_36pct,72,12,1707.15,755.67
1,DG_38pct,76,12,1755.4,755.67
1,DG_40pct,80,12,1816.23,755.67
1,DG_42pct,84,12,1863.14,755.67
1,DG_44pct,88,12,1900.72,755.67
1,DG_46pct,92,12,1928.71,755.67
1,DG_48pct,96,12,1967.33,755.67
1,DG_4pct,8,12,170.66,755.67
1,DG_50pct,100,12,1998.91,755.67
1,DG_6pct,12,12,277.42,755.67
1,DG_8pct,16,12,386.89,755.67
2,DG_10pct,20,12,23392.2,705.33
2,DG_12pct,24,12,23383.57,705.33
2,DG_14pct,28,12,23357.48,705.33
2,DG_16pct,32,12,23344.75,705.33
2,DG_18pct,36,12,23334.1,705.33
2,DG_20pct,40,12,23320.98,705.33
2,DG_22pct,44,12,23301.0,705.33
2,DG_24pct,48,12,23284.58,705.33
2,DG_26pct,52,12,23262.56,705.33
2,DG_28pct,56,12,23219.65,705.33
2,DG_2pct,4,12,23495.02,688.67
2,DG_30pct,60,12,23195.55,705.33
2,DG_32pct,64,12,23178.61,705.33
2,DG_34pct,68,12,23140.02,705.33
2,DG_36pct,72,12,23116.46,705.42
2,DG_38pct,76,12,23088.98,705.5
2,DG_40pct,80,12,23032.79,705.58
2,DG_42pct,84,12,22993.48,706.25
2,DG_44pct,88,12,22968.77,706.75
2,DG_46pct,92,12,22944.23,707.75
2,DG_48pct,96,12,22907.22,716.17
2,DG_4pct,8,12,23435.97,705.33
2,DG_50pct,100,12,22885.87,725.42
2,DG_6pct,12,12,23421.27,705.33
2,DG_8pct,16,12,23406.26,705.33
3,DG_10pct,20,12,14287.66,659.92
3,DG_12pct,24,12,14275.81,659.92
3,DG_14pct,28,12,14345.17,658.42
3,DG_16pct,32,12,14333.99,661.17
3,DG_18pct,36,12,14321.27,661.67
3,DG_20pct,40,12,14307.27,661.67
3,DG_22pct,44,12,14291.59,661.67
3,DG_24pct,48,12,14276.62,666.17
3,DG_26pct,52,12,14260.91,688.42
3,DG_28pct,56,12,14234.41,688.67
3,DG_2pct,4,12,14344.12,670.92
3,DG_30pct,60,12,14222.41,688.67
3,DG_32pct,64,12,14214.16,688.67
3,DG_34pct,68,12,14199.15,688.67
3,DG_36pct,72,12,14191.88,688.67
3,DG_38pct,76,12,14186.19,688.67
3,DG_40pct,80,12,14189.85,688.67
3,DG_42pct,84,12,14265.05,688.67
3,DG_44pct,88,12,14261.03,688.67
3,DG_46pct,92,12,14258.28,689.0
3,DG_48pct,96,12,14261.11,689.08
3,DG_4pct,8,12,14321.73,684.92
3,DG_50pct,100,12,14258.24,690.08
3,DG_6pct,12,12,14312.82,664.42
3,DG_8pct,16,12,14300.43,659.92
4,DG_10pct,20,12,8855.01,594.42
4,DG_12pct,24,12,8863.33,645.92
4,DG_14pct,28,12,8884.82,648.67
4,DG_16pct,32,12,8912.16,651.75
4,DG_18pct,36,12,8933.7,655.75
4,DG_20pct,40,12,8940.32,657.58
4,DG_22pct,44,12,8938.57,662.08
4,DG_24pct,48,12,8948.94,672.83
4,DG_26pct,52,12,8954.85,679.33
4,DG_28pct,56,12,8974.03,685.83
4,DG_2pct,4,12,8750.71,575.58
4,DG_30pct,60,12,8982.29,685.83
4,DG_32pct,64,12,8998.22,685.92
4,DG_34pct,68,12,9013.24,689.92
4,DG_36pct,72,12,9018.3,690.0
4,DG_38pct,76,12,9026.18,690.0
4,DG_40pct,80,12,9036.21,698.0
4,DG_42pct,84,12,9054.19,698.0
4,DG_44pct,88,12,9060.82,701.92
4,DG_46pct,92,12,9072.57,701.92
4,DG_48pct,96,12,9083.74,704.08
4,DG_4pct,8,12,8812.23,575.67
4,DG_50pct,100,12,9093.4,717.67
4,DG_6pct,12,12,8833.5,575.67
4,DG_8pct,16,12,8845.28,575.92
5,DG_10pct,20,12,8057.42,573.92
5,DG_12pct,24,12,8108.86,575.42
5,DG_14pct,28,12,8123.82,577.92
5,DG_16pct,32,12,8199.59,645.92
5,DG_18pct,36,12,8232.46,651.42
5,DG_20pct,40,12,8233.31,654.92
5,DG_22pct,44,12,8250.98,664.17
5,DG_24pct,48,12,8287.68,667.17
5,DG_26pct,52,12,8294.88,683.67
5,DG_28pct,56,12,8298.32,683.67
5,DG_2pct,4,12,7584.55,573.67
5,DG_30pct,60,12,8316.64,683.67
5,DG_32pct,64,12,8332.19,683.67
5,DG_34pct,68,12,8359.97,683.67
5,DG_36pct,72,12,8352.49,683.67
5,DG_38pct,76,12,8348.02,683.67
5,DG_40pct,80,12,8371.79,683.67
5,DG_42pct,84,12,8378.3,683.67
5,DG_44pct,88,12,8396.55,687.5
5,DG_46pct,92,12,8431.06,687.67
5,DG_48pct,96,12,8433.9,688.0
5,DG_4pct,8,12,7730.86,573.67
5,DG_50pct,100,12,8449.33,701.83
5,DG_6pct,12,12,7864.49,573.67
5,DG_8pct,16,12,7950.09,573.67
6,DG_10pct,20,12,5166.46,512.83
6,DG_12pct,24,12,5217.59,498.33
6,DG_14pct,28,12,5251.36,497.83
6,DG_16pct,32,12,5290.45,497.5
6,DG_18pct,36,12,5311.76,498.75
6,DG_20pct,40,12,5323.39,504.42
6,DG_22pct,44,12,5364.8,531.25
6,DG_24pct,48,12,5477.0,581.75
6,DG_26pct,52,12,5569.7,587.75
6,DG_28pct,56,12,5654.55,611.0
6,DG_2pct,4,12,4755.8,513.42
6,DG_30pct,60,12,5724.08,610.75
6,DG_32pct,64,12,5807.0,610.0
6,DG_34pct,68,12,5869.68,595.5
6,DG_36pct,72,12,5927.84,607.0
6,DG_38pct,76,12,5965.31,607.0
6,DG_40pct,80,12,6013.51,606.83
6,DG_42pct,84,12,6050.55,607.92
6,DG_44pct,88,12,6079.28,611.5
6,DG_46pct,92,12,6094.48,612.83
6,DG_48pct,96,12,6114.37,613.25
6,DG_4pct,8,12,4923.31,513.25
6,DG_50pct,100,12,6139.22,622.67
6,DG_6pct,12,12,5059.07,514.42
6,DG_8pct,16,12,5116.51,512.83
7,DG_10pct,20,12,5995.3,569.08
7,DG_12pct,24,12,6085.86,568.67
7,DG_14pct,28,12,6160.52,569.92
7,DG_16pct,32,12,6262.17,571.0
7,DG_18pct,36,12,6330.37,574.0
7,DG_20pct,40,12,6432.19,581.17
7,DG_22pct,44,12,6534.5,633.33
7,DG_24pct,48,12,6634.49,659.83
7,DG_26pct,52,12,6693.66,669.83
7,DG_28pct,56,12,6758.62,675.92
7,DG_2pct,4,12,5147.17,569.42
7,DG_30pct,60,12,6804.97,675.08
7,DG_32pct,64,12,6828.69,672.08
7,DG_34pct,68,12,6863.54,656.92
7,DG_36pct,72,12,6887.14,666.92
7,DG_38pct,76,12,6877.65,661.17
7,DG_40pct,80,12,6926.97,665.0
7,DG_42pct,84,12,6912.3,680.25
7,DG_44pct,88,12,6900.63,682.58
7,DG_46pct,92,12,6923.55,683.58
7,DG_48pct,96,12,6954.27,690.92
7,DG_4pct,8,12,5480.76,569.33
7,DG_50pct,100,12,7013.3,690.5
7,DG_6pct,12,12,5804.46,569.58
7,DG_8pct,16,12,5888.42,569.33
8,DG_10pct,20,12,6007.79,568.5
8,DG_12pct,24,12,6104.82,568.25
8,DG_14pct,28,12,6198.47,568.33
8,DG_16pct,32,12,6266.04,569.0
8,DG_18pct,36,12,6325.68,570.92
8,DG_20pct,40,12,6422.21,574.75
8,DG_22pct,44,12,6537.48,605.08
8,DG_24pct,48,12,6654.07,655.67
