fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
318412,SLG,0,0.442476,-81.0003,1.390546,-131.7112,1.010501,100.6847,744.0085,82.6544,1257.3159,32.2473,870.3613,-97.4507
318412,SLG,10,1.2285,-20.5782,1.227924,-140.1889,1.221622,99.3933,1054.2281,144.0722,1045.3021,24.5304,1042.5182,-96.015
318412,SLG,20,1.228409,-20.5569,1.227998,-140.1922,1.221646,99.398,1054.1174,144.0934,1045.3837,24.5256,1042.5519,-96.0087
318412,SLG,30,1.228378,-20.5497,1.228023,-140.1933,1.221654,99.3995,1054.0805,144.1005,1045.4109,24.524,1042.5632,-96.0066
318412,SLG,40,1.228363,-20.5462,1.228035,-140.1938,1.221658,99.4003,1054.062,144.104,1045.4245,24.5232,1042.5688,-96.0055
318412,LL,0,0.386313,-109.9745,0.273356,-158.6922,1.111023,106.7391,634.906,50.5917,471.785,10.7744,929.0658,-88.7404
318412,LL,10,1.228452,-20.5877,1.228106,-140.2318,1.221472,99.4,1054.1592,144.0596,1045.5225,24.4877,1042.3519,-96.0054
318412,LL,20,1.228385,-20.5616,1.22809,-140.2136,1.22157,99.4013,1054.083,144.0871,1045.494,24.5043,1042.4688,-96.0039
318412,LL,30,1.228362,-20.5529,1.228084,-140.2076,1.221603,99.4018,1054.0575,144.0963,1045.4845,24.5098,1042.5077,-96.0034
318412,LL,40,1.228351,-20.5485,1.228081,-140.2045,1.22162,99.402,1054.0448,144.1008,1045.4797,24.5126,1042.5272,-96.0031
318412,3LG,0,0.169366,-95.0171,0.169218,145.1997,0.16876,24.7773,236.9476,68.9474,235.2048,-50.8691,235.2934,-171.381
318412,3LG,10,1.228303,-20.5811,1.228059,-140.2411,1.221655,99.357,1053.9946,144.069,1045.4535,24.4752,1042.5738,-96.048
318412,3LG,20,1.22831,-20.5583,1.228066,-140.2183,1.221662,99.3798,1054.0007,144.0918,1045.4595,24.498,1042.5798,-96.0252
318412,3LG,30,1.228312,-20.5507,1.228068,-140.2107,1.221665,99.3874,1054.0027,144.0994,1045.4615,24.5056,1042.5818,-96.0176
318412,3LG,40,1.228314,-20.5469,1.228069,-140.2069,1.221666,99.3912,1054.0037,144.1032,1045.4625,24.5094,1042.5827,-96.0138
243937,SLG,0,0.637978,-96.7716,1.866712,-158.0422,1.630939,126.052,941.782,61.9667,1753.8606,7.3883,1332.0522,-66.0892
243937,SLG,10,1.222471,-20.8638,1.233212,-140.2914,1.220876,99.6588,1049.2895,143.7163,1050.8216,24.4731,1040.6437,-95.7244
243937,SLG,20,1.225385,-20.6999,1.230651,-140.2435,1.221264,99.5311,1051.6394,143.9151,1048.1524,24.4971,1041.605,-95.8631
243937,SLG,30,1.22636,-20.6452,1.229794,-140.2275,1.221398,99.4883,1052.4265,143.9815,1047.2587,24.505,1041.9297,-95.9095
243937,SLG,40,1.226848,-20.6178,1.229364,-140.2195,1.221465,99.4669,1052.8208,144.0148,1046.8112,24.509,1042.0929,-95.9327
243937,LL,0,0.327536,-129.0646,0.324589,-141.8841,1.64115,103.196,597.6157,29.7651,597.5258,20.025,1404.772,-92.101
243937,LL,10,1.221676,-20.6094,1.227318,-140.6179,1.225977,99.5626,1047.3433,143.9918,1046.0758,24.0766,1045.9705,-95.7718
243937,LL,20,1.224978,-20.5724,1.227697,-140.4076,1.223832,99.4833,1050.6566,144.0532,1045.7759,24.2977,1044.2826,-95.8862
243937,LL,30,1.226086,-20.5601,1.227823,-140.3371,1.223113,99.4566,1051.7689,144.0737,1045.6734,24.3718,1043.7181,-95.9247
243937,LL,40,1.226643,-20.5539,1.227886,-140.3018,1.222753,99.4432,1052.3268,144.0839,1045.6219,24.409,1043.4354,-95.944
243937,3LG,0,0.041897,-78.516,0.041862,161.6867,0.041753,41.283,58.602,85.442,58.177,-34.3863,58.2004,-154.8764
243937,3LG,10,1.226766,-20.7037,1.226523,-140.3641,1.220134,99.2343,1052.6748,143.9464,1044.1466,24.3522,1041.2756,-96.1707
243937,3LG,20,1.227542,-20.6197,1.227298,-140.2798,1.220902,99.3184,1053.3414,144.0304,1044.8067,24.4364,1041.9314,-96.0866
243937,3LG,30,1.227801,-20.5916,1.227557,-140.2517,1.221158,99.3465,1053.5633,144.0585,1045.0264,24.4646,1042.1496,-96.0586
243937,3LG,40,1.22793,-20.5776,1.227686,-140.2377,1.221286,99.3605,1053.6742,144.0725,1045.1362,24.4786,1042.2587,-96.0445
157347,SLG,0,0.561638,-35.943,1.509284,-152.329,1.431979,113.2029,805.8565,119.2362,1377.4324,10.4532,1202.7937,-82.674
157347,SLG,10,1.223327,-21.1947,1.234956,-140.1434,1.217255,99.6548,1050.9353,143.376,1052.0327,24.669,1036.9352,-95.7664
157347,SLG,20,1.225841,-20.8672,1.23153,-140.168,1.219426,99.5284,1052.4917,143.743,1048.7572,24.597,1039.7253,-95.8852
157347,SLG,30,1.22667,-20.7571,1.230381,-140.1768,1.220165,99.4864,1053.0014,143.8664,1047.6616,24.572,1040.6709,-95.9244
157347,SLG,40,1.227084,-20.7019,1.229805,-140.1814,1.220538,99.4655,1053.2545,143.9283,1047.1132,24.5594,1041.1467,-95.944
157347,LL,0,0.53161,-26.019,0.607502,-149.5419,1.501626,100.0535,679.466,134.7821,908.1827,12.3732,1313.0587,-96.8491
157347,LL,10,1.218938,-20.9444,1.229806,-140.8024,1.224125,99.7061,1045.2842,143.6091,1048.8078,23.9292,1043.4997,-95.6174
157347,LL,20,1.223599,-20.7424,1.229002,-140.5002,1.222871,99.5565,1049.6231,143.859,1047.1979,24.2241,1043.0052,-95.8078
157347,LL,30,1.225165,-20.674,1.228706,-140.3989,1.222465,99.5057,1051.0794,143.9436,1046.6342,24.3228,1042.8568,-95.8722
157347,LL,40,1.225951,-20.6396,1.228553,-140.3481,1.222263,99.4801,1051.8093,143.9861,1046.3472,24.3723,1042.7857,-95.9046
157347,3LG,0,0.579609,-25.8009,0.579054,-145.5952,0.577398,93.9763,807.5607,138.1864,800.8302,18.3592,801.1498,-102.1637
157347,3LG,10,1.225701,-20.8928,1.225472,-140.5533,1.219081,99.0456,1051.7611,143.7572,1043.2534,24.163,1040.376,-96.3593
157347,3LG,20,1.227019,-20.7147,1.226782,-140.3749,1.220385,99.2236,1052.8921,143.9353,1044.3677,24.3413,1041.489,-96.1814
157347,3LG,30,1.227454,-20.6551,1.227214,-140.3152,1.220815,99.2831,1053.2655,143.995,1044.7355,24.4011,1041.8564,-96.1219
157347,3LG,40,1.22767,-20.6253,1.22743,-140.2853,1.221029,99.313,1053.4514,144.0248,1044.9187,24.4309,1042.0394,-96.092
298162,SLG,0,0.428838,-90.7363,1.703664,-148.6015,1.315761,121.1343,825.3293,69.6916,1581.7579,16.2616,1046.6299,-72.2476
298162,SLG,10,1.22394,-22.2436,1.240791,-139.7556,1.207112,99.6932,1054.1156,142.2858,1056.5281,25.2029,1026.2119,-95.8295
298162,SLG,20,1.226226,-21.3948,1.234399,-139.969,1.214299,99.5433,1054.1554,143.1944,1050.9289,24.8699,1034.3246,-95.9222
298162,SLG,30,1.226945,-21.1095,1.232282,-140.043,1.216736,99.4954,1054.1271,143.4999,1049.0917,24.7553,1037.0621,-95.9504
298162,SLG,40,1.227297,-20.9665,1.231227,-140.0806,1.217961,99.4718,1054.105,143.6531,1048.179,24.6974,1038.437,-95.9639
298162,LL,0,0.273008,-140.0131,0.272127,-142.6713,1.518018,105.3048,527.5356,20.385,525.2722,18.4755,1303.7936,-89.5871
298162,LL,10,1.20941,-21.9664,1.235811,-141.4673,1.219924,100.1386,1037.7224,142.4387,1055.9659,23.3632,1037.3449,-95.1325
298162,LL,20,1.218848,-21.2585,1.232144,-140.831,1.220619,99.7733,1045.8615,143.2688,1050.8997,23.944,1039.7639,-95.5669
298162,LL,30,1.222001,-21.0192,1.230832,-140.619,1.220928,99.6503,1048.5766,143.549,1049.1293,24.1368,1040.659,-95.712
298162,LL,40,1.223579,-20.8989,1.230159,-140.5131,1.221098,99.5886,1049.9342,143.6897,1048.2287,24.233,1041.1235,-95.7846
298162,3LG,0,0.007441,-87.6779,0.007437,152.5028,0.007414,32.1683,10.4086,76.2747,10.3366,-43.5615,10.3337,-163.9852
298162,3LG,10,1.221693,-21.5246,1.221544,-141.1847,1.215111,98.417,1048.3237,143.1249,1039.9161,23.5319,1036.979,-96.9878
298162,3LG,20,1.225042,-21.0314,1.224846,-140.6914,1.218426,98.9085,1051.1969,143.6184,1042.7226,24.0251,1039.8128,-96.4964
298162,3LG,30,1.226142,-20.8664,1.22593,-140.5264,1.219515,99.073,1052.1406,143.7835,1043.644,24.19,1040.7439,-96.332
298162,3LG,40,1.226689,-20.7838,1.226468,-140.4438,1.220057,99.1553,1052.6098,143.8662,1044.102,24.2726,1041.2069,-96.2497
165448,SLG,0,0.421871,-90.9357,1.709982,-148.378,1.308998,121.4054,816.5945,69.5412,1587.8023,16.4782,1040.6306,-71.9117
165448,SLG,10,1.224284,-22.3758,1.241455,-139.6978,1.205702,99.6903,1054.772,142.1507,1056.9944,25.2794,1024.765,-95.8477
165448,SLG,20,1.22642,-21.4615,1.234717,-139.9391,1.213585,99.5409,1054.5036,143.1263,1051.1423,24.9093,1033.596,-95.9325
165448,SLG,30,1.227079,-21.1541,1.232491,-140.0228,1.216258,99.4935,1054.3638,143.4543,1049.2294,24.7818,1036.5754,-95.9575
165448,SLG,40,1.227399,-20.9999,1.231382,-140.0654,1.217602,99.4703,1054.2842,143.6189,1048.2805,24.7174,1038.0716,-95.9693
165448,LL,0,0.269911,-140.7227,0.269166,-143.2133,1.519098,105.5013,524.6112,19.7379,522.4712,17.9609,1305.3927,-89.3539
165448,LL,10,1.208346,-22.1034,1.236745,-141.5434,1.219204,100.1952,1036.9343,142.2827,1057.0017,23.3016,1036.3818,-95.0707
165448,LL,20,1.218327,-21.3282,1.232638,-140.8683,1.220226,99.8014,1045.4793,143.1897,1051.4396,23.9142,1039.2483,-95.5367
165448,LL,30,1.221657,-21.0659,1.231167,-140.6438,1.220659,99.6689,1048.3246,143.496,1049.494,24.1172,1040.3076,-95.692
165448,LL,40,1.223322,-20.934,1.230413,-140.5316,1.220893,99.6025,1049.7463,143.6499,1048.504,24.2184,1040.8571,-95.7697
165448,3LG,0,0.006893,-88.0666,0.006889,152.1119,0.006868,31.7845,9.6417,75.8853,9.5754,-43.9516,9.5721,-164.3683
165448,3LG,10,1.221245,-21.6038,1.22111,-141.2637,1.214665,98.3385,1047.94,143.0457,1039.548,23.453,1036.5972,-97.0662
165448,3LG,20,1.224825,-21.0712,1.224635,-140.7311,1.218209,98.8691,1051.0107,143.5786,1042.544,23.9854,1039.6271,-96.5358
165448,3LG,30,1.225998,-20.893,1.225791,-140.5529,1.219372,99.0466,1052.0177,143.7569,1043.5262,24.1636,1040.6213,-96.3584
165448,3LG,40,1.226582,-20.8037,1.226365,-140.4636,1.21995,99.1355,1052.5181,143.8462,1044.0141,24.2528,1041.1154,-96.2695
165449,SLG,0,0.357566,-95.7662,1.765045,-148.2214,1.304795,123.7949,741.7933,65.2136,1645.5548,16.5926,1039.6078,-68.7685
165449,SLG,10,1.229297,-23.7158,1.248636,-139.0994,1.190906,99.6668,1062.8617,140.7898,1062.0672,26.0713,1009.6564,-96.035
165449,SLG,20,1.229253,-22.1361,1.23805,-139.6264,1.206108,99.5143,1058.8432,142.4407,1053.3435,25.3195,1026.0195,-96.0433
165449,SLG,30,1.229042,-21.6048,1.234652,-139.8115,1.211258,99.4725,1057.3229,142.9962,1050.6189,25.0583,1031.5223,-96.0351
165449,SLG,40,1.228899,-21.3383,1.232979,-139.9058,1.213847,99.4533,1056.5284,143.2749,1049.2928,24.9258,1034.2814,-96.0289
165449,LL,0,0.23626,-148.9919,0.236269,-150.6552,1.552041,106.3826,492.6417,12.0407,491.2803,10.9414,1342.702,-88.1497
165449,LL,10,1.198498,-23.4932,1.248094,-142.3115,1.211979,100.8038,1029.9059,140.6945,1069.1392,22.686,1026.5739,-94.4064
165449,LL,20,1.213653,-22.0371,1.238618,-141.2392,1.216132,100.0984,1042.2154,142.3827,1057.7386,23.624,1033.8665,-95.2198
165449,LL,30,1.218602,-21.5416,1.235219,-140.8878,1.217823,99.865,1046.2083,142.9553,1053.7402,23.9278,1036.6151,-95.4846
165449,LL,40,1.221054,-21.2919,1.233475,-140.7134,1.218726,99.7488,1048.182,143.2433,1051.7056,24.078,1038.0488,-95.6156
165449,3LG,0,0.004001,-92.6444,0.004001,147.5014,0.003988,27.2568,5.5972,71.2984,5.5621,-48.5554,5.557,-168.8874
165449,3LG,10,1.218065,-22.3904,1.21814,-142.0466,1.211495,97.5617,1045.2225,142.2578,1037.0345,22.6712,1033.8656,-97.843
165449,3LG,20,1.223333,-21.4669,1.223248,-141.1246,1.216715,98.4784,1049.7372,143.1822,1041.3699,23.5925,1038.3388,-96.9265
165449,3LG,30,1.225026,-21.1573,1.224888,-140.8157,1.218397,98.7856,1051.1879,143.4922,1042.762,23.9012,1039.7799,-96.6193
165449,3LG,40,1.225861,-21.0022,1.225696,-140.6609,1.219226,98.9396,1051.903,143.6475,1043.448,24.0558,1040.491,-96.4654
287274,SLG,0,0.367321,-83.6031,1.762015,-146.6247,1.255989,123.6804,732.6373,74.8959,1632.8777,18.0541,996.9815,-69.3943
287274,SLG,10,1.226739,-24.6328,1.254242,-138.7001,1.180575,99.6793,1063.0986,139.8396,1066.6516,26.603,998.8751,-96.1149
287274,SLG,20,1.228342,-22.6061,1.240605,-139.4096,1.200791,99.5042,1059.3114,141.9541,1055.3005,25.6048,1020.5306,-96.103
287274,SLG,30,1.22852,-21.9206,1.236293,-139.6632,1.207684,99.4621,1057.7154,142.6693,1051.8414,25.2526,1027.8458,-96.0793
287274,SLG,40,1.22854,-21.576,1.234186,-139.7932,1.211156,99.4441,1056.8532,143.0288,1050.1778,25.0731,1031.5183,-96.0637
287274,LL,0,0.205486,-112.1481,0.294935,-164.7525,1.543574,106.8173,410.0895,36.1394,563.3565,0.9458,1336.5328,-87.9369
287274,LL,10,1.185548,-24.4243,1.250281,-142.8573,1.20774,101.2546,1019.347,139.6197,1072.9773,22.2241,1020.7124,-93.8872
287274,LL,20,1.207392,-22.525,1.240071,-141.502,1.213453,100.318,1037.1672,141.8242,1059.9417,23.408,1030.3607,-94.974
287274,LL,30,1.214484,-21.8716,1.236262,-141.0604,1.215912,100.0094,1042.9018,142.5784,1055.266,23.7876,1034.1521,-95.3246
287274,LL,40,1.217988,-21.5412,1.234285,-140.8418,1.217246,99.8563,1045.7253,142.959,1052.8703,23.9742,1036.1549,-95.4972
287274,3LG,0,0.135611,-58.5159,0.135608,-178.3965,0.135193,61.4092,189.6889,105.4212,188.5625,-14.4529,188.3976,-134.7282
287274,3LG,10,1.210241,-22.9124,1.210526,-142.5676,1.203744,97.0496,1038.5148,141.7344,1030.5712,22.1513,1027.2269,-98.3547
287274,3LG,20,1.219489,-21.7359,1.219509,-141.3927,1.212897,98.2145,1046.4426,142.9125,1038.1955,23.325,1035.0677,-97.1903
287274,3LG,30,1.22248,-21.3384,1.222411,-140.9961,1.215865,98.6079,1049.0059,143.3106,1040.6595,23.7212,1037.6111,-96.7969
287274,3LG,40,1.223958,-21.1387,1.223845,-140.7968,1.217333,98.8056,1050.2721,143.5106,1041.8765,23.9202,1038.869,-96.5993
283954,SLG,0,0.336716,-85.8878,1.775855,-147.1253,1.271629,124.2841,695.8981,72.3186,1649.9242,17.5204,1012.9715,-68.4884
283954,SLG,10,1.230194,-25.439,1.258767,-138.3464,1.171633,99.6683,1068.373,139.0282,1069.9721,27.073,989.7342,-96.2284
283954,SLG,20,1.23047,-23.0119,1.242531,-139.2187,1.196271,99.481,1062.3043,141.5458,1056.5423,25.8542,1015.9785,-96.1796
283954,SLG,30,1.230029,-22.1915,1.237495,-139.533,1.204666,99.4427,1059.7902,142.3968,1052.5693,25.4217,1024.8217,-96.1347
283954,SLG,40,1.229705,-21.7793,1.235055,-139.6945,1.208893,99.4281,1058.4392,142.8243,1050.6852,25.2009,1029.2551,-96.1068
283954,LL,0,0.1865,-110.5659,0.282701,-170.4269,1.561791,106.6949,382.9129,34.5597,551.3052,-3.9187,1357.4051,-87.9564
