fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg,rfi_id,monitor_bus,der_pct
318412,SLG,0,0.130881,-112.1706,1.047497,-150.0345,1.046718,89.6488,942364.6143,-112.1675,237.6247,-139.2271,237.9365,70.9525,1,318412,0
318412,SLG,0,0.130565,-112.0886,1.046651,-150.0656,1.046213,89.5871,93.294,-79.6604,237.6247,-139.2272,237.9365,70.9526,2,243937,0
318412,SLG,0,0.130387,-112.3218,1.046374,-150.1423,1.045897,89.5348,1.1186,-77.3833,2.2245,-160.8519,2.601,44.4416,3,157347,0
318412,SLG,0,0.129867,-112.9989,1.045316,-150.3765,1.044581,89.3644,92.0946,-79.5997,234.5583,-138.8327,234.3125,71.2859,4,298162,0
318412,SLG,0,0.129802,-113.0921,1.0452,-150.4066,1.044436,89.3442,92.0946,-79.5997,234.5583,-138.8327,234.3125,71.2859,5,165448,0
318412,SLG,0,0.129189,-114.0001,1.044302,-150.7001,1.043308,89.1426,92.0946,-79.5997,232.0972,-138.3389,234.3125,71.2859,6,165449,0
318412,SLG,0,0.128433,-114.642,1.042675,-150.8874,1.041507,89.0419,0.1615,-142.0657,1.2852,-178.341,1.3213,61.6303,7,287274,0
318412,SLG,0,0.128089,-115.0878,1.042481,-151.0277,1.041279,88.9463,3.5819,-78.1092,7.41,-161.3837,8.5997,43.0509,8,283954,0
318412,SLG,0,0.128048,-115.1121,1.042341,-151.0284,1.041137,88.9507,3.5819,-78.1092,7.41,-161.3837,8.5997,43.0509,9,283956,0
318412,SLG,0,0.125494,-116.711,1.03627,-151.5,1.034636,88.7356,4.2398,-144.1734,29.6883,-179.2527,39.6803,61.306,10,189963,0
318412,SLG,0,0.125362,-117.1573,1.036379,-151.5965,1.034585,88.703,7.0636,-78.4219,16.0711,-163.0146,17.169,42.4745,11,181977,0
318412,SLG,0,0.125212,-117.7151,1.036684,-151.7542,1.034904,88.6257,0.0,-27.2814,0.0,-61.7292,0.0,178.7037,12,181924,0
318412,SLG,0,0.125127,-118.0062,1.03707,-151.8181,1.035411,88.6133,12.1789,-55.8456,55.0489,-86.1087,46.173,154.4214,13,181993,0
318412,SLG,0,0.125073,-118.0228,1.036763,-151.8306,1.035151,88.601,6.8498,-84.1369,23.837,-170.0129,24.4016,49.4563,14,181994,0
318412,SLG,0,0.124617,-117.7359,1.034969,-151.8045,1.03415,88.5757,2.3457,-145.151,19.3563,-179.4552,15.8474,61.2214,15,181891,0
318412,SLG,0,0.124947,-118.0596,1.036124,-151.8463,1.034619,88.5886,0.0,-25.7058,0.0,-60.8148,0.0,178.7811,16,255335,0
318412,SLG,0,0.124947,-118.0596,1.036124,-151.8463,1.034619,88.5886,0.0,-28.0542,0.0,-61.8476,0.0,178.5819,17,182030,0
318412,SLG,0,0.124694,-118.1695,1.03486,-151.8554,1.033244,88.5977,4.4312,99.4778,10.1967,15.5823,14.2001,-132.0831,18,182153,0
318412,SLG,0,0.124653,-118.214,1.034611,-151.8609,1.032958,88.5991,4.3674,-78.6513,8.9552,-162.2927,10.3813,42.8236,19,182158,0
318412,SLG,0,0.124643,-118.2339,1.03453,-151.8632,1.032854,88.5999,1.0921,-78.6292,2.2298,-161.8344,2.5963,42.8531,20,182162,0
318412,LL,0,0.130627,-112.3166,0.130724,127.9993,1.045413,89.8186,940565.8371,-112.3171,941157.2967,128.0026,219.4287,85.8631,1,318412,0
318412,LL,0,0.130792,-112.1597,0.130117,127.9569,1.04438,89.7582,111.0733,-116.0628,55.3482,-140.7596,219.4287,85.8631,2,243937,0
318412,LL,0,0.130314,-112.2529,0.130273,127.7502,1.044199,89.6831,1.41,-118.9579,0.6747,-126.5784,2.0807,58.5775,3,157347,0
318412,LL,0,0.128984,-112.5475,0.130646,127.1807,1.043237,89.4513,109.5151,-115.9912,54.7766,-140.7759,216.3768,86.2554,4,298162,0
318412,LL,0,0.128795,-112.5877,0.130713,127.1023,1.043151,89.4225,109.5151,-115.9912,54.7766,-140.7759,216.3768,86.2554,5,165448,0
318412,LL,0,0.126965,-112.9544,0.131359,126.3132,1.042591,89.1329,109.5151,-115.9912,54.9881,-140.3911,216.3768,86.2554,6,165449,0
318412,LL,0,0.125329,-113.1302,0.131727,125.7154,1.041151,88.9618,0.1576,-140.5536,0.1729,98.352,1.3218,61.5514,7,287274,0
318412,LL,0,0.124359,-113.2378,0.132033,125.2698,1.041179,88.8155,4.5418,-120.0088,2.1653,-127.7224,6.6938,57.5027,8,283954,0
318412,LL,0,0.124274,-113.2442,0.132055,125.2549,1.041057,88.8174,4.5418,-120.0088,2.1653,-127.7224,6.6938,57.5027,9,283956,0
318412,LL,0,0.119637,-113.4039,0.132616,123.5943,1.0352,88.4047,4.0421,-140.8656,4.0139,95.9241,39.6609,60.974,10,189963,0
318412,LL,0,0.118753,-113.5952,0.133186,123.2929,1.03557,88.3289,8.9581,-120.4183,4.1269,-129.9021,13.1824,57.0768,11,181977,0
318412,LL,0,0.117837,-113.8668,0.133863,122.9196,1.036298,88.2044,0.0,-23.876,0.0,-147.3263,0.0,178.1921,12,181924,0
318412,LL,0,0.117333,-113.9875,0.134297,122.7338,1.037007,88.1649,10.2701,-83.0068,10.4724,-147.2674,50.6003,156.7381,13,181993,0
