fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
318412,SLG,0,0.266385,-88.7158,1.182287,-139.2436,0.998508,96.0101,4.3068,-69.0127,7.8615,-156.5847,9.1225,51.5591
318412,SLG,10,1.108374,-24.6556,1.108682,-144.3517,1.105267,95.3916,8.5415,-52.4945,8.5604,-172.4676,8.5544,67.4089
318412,SLG,20,1.108333,-24.6337,1.10872,-144.3534,1.105276,95.3942,8.5415,-52.4793,8.5614,-172.4639,8.5535,67.4128
318412,SLG,30,1.108319,-24.6264,1.108733,-144.354,1.105279,95.395,8.5415,-52.4742,8.5618,-172.4627,8.5531,67.414
318412,SLG,40,1.108312,-24.6227,1.108739,-144.3543,1.105281,95.3955,8.5415,-52.4717,8.5619,-172.4621,8.553,67.4147
318412,LL,0,0.244699,-110.8354,0.163402,178.2919,1.047524,99.1765,5.1637,-112.4244,2.6056,-122.4356,7.7429,64.2219
318412,LL,10,1.108355,-24.6608,1.108764,-144.3957,1.10519,95.3951,8.5434,-52.5023,8.5604,-172.498,8.5525,67.4014
318412,LL,20,1.108323,-24.6363,1.108761,-144.3754,1.105238,95.3959,8.5425,-52.4832,8.5614,-172.4791,8.5525,67.409
318412,LL,30,1.108313,-24.6281,1.10876,-144.3686,1.105254,95.3962,8.5422,-52.4768,8.5617,-172.4728,8.5525,67.4116
318412,LL,40,1.108307,-24.624,1.10876,-144.3653,1.105262,95.3963,8.542,-52.4736,8.5619,-172.4697,8.5525,67.4128
318412,3LG,0,0.142627,-101.8662,0.142626,138.3395,0.142391,18.062,1.2066,-129.7183,1.2101,110.2989,1.2087,-9.8528
318412,3LG,10,1.108279,-24.6574,1.108745,-144.4007,1.105273,95.3511,8.5414,-52.5097,8.5623,-172.5058,8.5524,67.371
318412,3LG,20,1.108285,-24.6346,1.108752,-144.3779,1.105279,95.3739,8.5415,-52.4869,8.5624,-172.483,8.5525,67.3938
318412,3LG,30,1.108287,-24.627,1.108754,-144.3703,1.105282,95.3815,8.5415,-52.4793,8.5624,-172.4754,8.5525,67.4014
318412,3LG,40,1.108288,-24.6232,1.108755,-144.3665,1.105283,95.3853,8.5415,-52.4755,8.5624,-172.4716,8.5525,67.4052
243937,SLG,0,0.304787,-94.7078,1.526689,-168.7252,1.617269,115.2298,8.5899,-60.1686,8.8722,-177.4758,9.0872,59.6574
243937,SLG,10,1.10236,-24.8567,1.112317,-144.5207,1.106292,95.6393,8.5344,-52.5756,8.5535,-172.4671,8.5579,67.3679
243937,SLG,20,1.105317,-24.7345,1.110544,-144.4382,1.105785,95.5185,8.538,-52.52,8.5579,-172.4637,8.5552,67.3922
243937,SLG,30,1.106307,-24.6937,1.10995,-144.4106,1.105618,95.478,8.5391,-52.5014,8.5594,-172.4626,8.5543,67.4003
243937,SLG,40,1.106802,-24.6732,1.109653,-144.3967,1.105534,95.4577,8.5397,-52.4921,8.5602,-172.462,8.5539,67.4044
243937,LL,0,0.160303,-123.092,0.148934,-145.4962,1.513678,95.0985,5.5888,-115.3156,5.5178,-118.5767,11.1022,63.0642
243937,LL,10,1.103365,-24.6151,1.106372,-144.7646,1.10982,95.4731,8.5399,-52.6253,8.5462,-172.5798,8.5489,67.3608
243937,LL,20,1.105814,-24.6132,1.107563,-144.5607,1.107564,95.4353,8.5407,-52.5447,8.5543,-172.5201,8.5507,67.3885
243937,LL,30,1.106636,-24.6127,1.10796,-144.4923,1.106807,95.4226,8.541,-52.5179,8.557,-172.5002,8.5513,67.3979
243937,LL,40,1.107049,-24.6124,1.10816,-144.4581,1.106428,95.4162,8.5411,-52.5044,8.5584,-172.4902,8.5516,67.4026
