SmartMeter_ID,Load_Name,Bus1,Base_Bus,Phases,kV,Base_Min_pu,Fault_Min_pu,Delta_pu,Confirmed_Fault_Outage
SM_12,1000824-DA1,S1X_1000824.1,S1X_1000824,1,0.24,0.96449,0.19738,-0.76711,True
SM_13,1000824-DA2,S2X_1000824.1,S2X_1000824,1,0.24,0.96449,0.19738,-0.76711,True
SM_14,1000824-DA3,S3X_1000824.1,S3X_1000824,1,0.24,0.96449,0.19738,-0.76711,True
SM_15,1000824-DB1,S1X_1000824.2,S1X_1000824,1,0.24,0.96449,0.19738,-0.76711,True
SM_16,1000824-DB2,S2X_1000824.2,S2X_1000824,1,0.24,0.96449,0.19738,-0.76711,True
SM_17,1000824-DB3,S3X_1000824.2,S3X_1000824,1,0.24,0.96449,0.19738,-0.76711,True
SM_18,1000824-DC1,S1X_1000824.3,S1X_1000824,1,0.24,0.96449,0.19738,-0.76711,True
SM_19,1000824-DC2,S2X_1000824.3,S2X_1000824,1,0.24,0.96449,0.19738,-0.76711,True
SM_20,1000824-DC3,S3X_1000824.3,S3X_1000824,1,0.24,0.96449,0.19738,-0.76711,True
SM_36,1000672-DA1,S1X_1000672.1,S1X_1000672,1,0.24,0.96233,0.13504,-0.8272900000000001,True
SM_58,1001823-DA1,S1X_1001823.1,S1X_1001823,1,0.24,0.96019,0.030931,-0.929259,True
SM_59,1001822-DA1,S1X_1001822.1,S1X_1001822,1,0.24,0.96105,0.030998,-0.930052,True
SM_60,1001822-DB1,S1X_1001822.2,S1X_1001822,1,0.24,0.96105,0.030998,-0.930052,True
SM_61,1001822-DC1,S1X_1001822.3,S1X_1001822,1,0.24,0.96105,0.030998,-0.930052,True
SM_62,1000042-DA1,S1X_1000042.1,S1X_1000042,1,0.24,0.96372,0.0010597,-0.9626603,True
SM_63,1000042-DA2,S2X_1000042.1,S2X_1000042,1,0.24,0.96372,0.0010597,-0.9626603,True
SM_64,1000042-DA3,S3X_1000042.1,S3X_1000042,1,0.24,0.96372,0.0010597,-0.9626603,True
SM_65,1000042-DA4,S4X_1000042.1,S4X_1000042,1,0.24,0.96372,0.0010597,-0.9626603,True
SM_66,1000042-DA5,S5X_1000042.1,S5X_1000042,1,0.24,0.96372,0.0010597,-0.9626603,True
SM_67,1000042-DA6,S6X_1000042.1,S6X_1000042,1,0.24,0.96372,0.0010597,-0.9626603,True
SM_68,1000042-DA7,S7X_1000042.1,S7X_1000042,1,0.24,0.96372,0.0010597,-0.9626603,True
SM_69,1000077-DA1,S1X_1000077.1,S1X_1000077,1,0.24,0.96422,0.0010603,-0.9631597,True
SM_70,1000077-DA2,S2X_1000077.1,S2X_1000077,1,0.24,0.96422,0.0010603,-0.9631597,True
SM_71,1000077-DA3,S3X_1000077.1,S3X_1000077,1,0.24,0.96422,0.0010603,-0.9631597,True
SM_72,1000077-DA4,S4X_1000077.1,S4X_1000077,1,0.24,0.96422,0.0010603,-0.9631597,True
SM_73,1000077-DA5,S5X_1000077.1,S5X_1000077,1,0.24,0.96422,0.0010603,-0.9631597,True
SM_74,1000077-DA6,S6X_1000077.1,S6X_1000077,1,0.24,0.96422,0.0010603,-0.9631597,True
SM_75,1000474-DA1,S1X_1000474.1,S1X_1000474,1,0.24,0.96393,0.00106,-0.96287,True
SM_76,1000474-DA2,S2X_1000474.1,S2X_1000474,1,0.24,0.96393,0.00106,-0.96287,True
SM_77,1000474-DA3,S3X_1000474.1,S3X_1000474,1,0.24,0.96393,0.00106,-0.96287,True
SM_78,1000474-DA4,S4X_1000474.1,S4X_1000474,1,0.24,0.96393,0.00106,-0.96287,True
SM_79,1000474-DA5,S5X_1000474.1,S5X_1000474,1,0.24,0.96393,0.00106,-0.96287,True
SM_80,1000043-DA1,S1X_1000043.1,S1X_1000043,1,0.24,0.96423,0.0010603,-0.9631697,True
SM_81,1000043-DA2,S2X_1000043.1,S2X_1000043,1,0.24,0.96423,0.0010603,-0.9631697,True
SM_82,1000043-DA3,S3X_1000043.1,S3X_1000043,1,0.24,0.96423,0.0010603,-0.9631697,True
SM_83,1000043-DA4,S4X_1000043.1,S4X_1000043,1,0.24,0.96423,0.0010603,-0.9631697,True
SM_84,1000043-DA5,S5X_1000043.1,S5X_1000043,1,0.24,0.96423,0.0010603,-0.9631697,True
SM_85,1000043-DA6,S6X_1000043.1,S6X_1000043,1,0.24,0.96423,0.0010603,-0.9631697,True
SM_96,1000608-DA1,S1X_1000608.1,S1X_1000608,1,0.24,0.95596,0.0019129,-0.9540471,True
SM_97,1000608-DA2,S2X_1000608.1,S2X_1000608,1,0.24,0.95596,0.0019129,-0.9540471,True
SM_98,1000608-DA3,S3X_1000608.1,S3X_1000608,1,0.24,0.95596,0.0019129,-0.9540471,True
SM_99,1000608-DA4,S4X_1000608.1,S4X_1000608,1,0.24,0.95596,0.0019129,-0.9540471,True
SM_100,1000608-DA5,S5X_1000608.1,S5X_1000608,1,0.24,0.95596,0.0019129,-0.9540471,True
SM_101,1000608-DA6,S6X_1000608.1,S6X_1000608,1,0.24,0.95596,0.0019129,-0.9540471,True
SM_102,1000608-DA7,S7X_1000608.1,S7X_1000608,1,0.24,0.95596,0.0019129,-0.9540471,True
SM_103,1000608-DA8,S8X_1000608.1,S8X_1000608,1,0.24,0.95596,0.0019129,-0.9540471,True
SM_104,1000609-DA1,S1X_1000609.1,S1X_1000609,1,0.24,0.95585,0.0019127,-0.9539373,True
SM_105,1000609-DA2,S2X_1000609.1,S2X_1000609,1,0.24,0.95585,0.0019127,-0.9539373,True
SM_106,1000609-DA3,S3X_1000609.1,S3X_1000609,1,0.24,0.95585,0.0019127,-0.9539373,True
SM_107,1000609-DA4,S4X_1000609.1,S4X_1000609,1,0.24,0.95585,0.0019127,-0.9539373,True
SM_108,1000609-DA5,S5X_1000609.1,S5X_1000609,1,0.24,0.95585,0.0019127,-0.9539373,True
SM_109,1000609-DA6,S6X_1000609.1,S6X_1000609,1,0.24,0.95585,0.0019127,-0.9539373,True
SM_110,1000609-DA7,S7X_1000609.1,S7X_1000609,1,0.24,0.95585,0.0019127,-0.9539373,True
SM_111,1000609-DA8,S8X_1000609.1,S8X_1000609,1,0.24,0.95585,0.0019127,-0.9539373,True
SM_112,1000609-DA9,S9X_1000609.1,S9X_1000609,1,0.24,0.95585,0.0019127,-0.9539373,True
SM_113,1000609-DA10,S10X_1000609.1,S10X_1000609,1,0.24,0.95585,0.0019127,-0.9539373,True
SM_114,1000609-DA11,S11X_1000609.1,S11X_1000609,1,0.24,0.95585,0.0019127,-0.9539373,True
SM_115,1000610-DA1,S1X_1000610.1,S1X_1000610,1,0.24,0.95542,0.0019118,-0.9535082,True
SM_116,1000610-DA2,S2X_1000610.1,S2X_1000610,1,0.24,0.95542,0.0019118,-0.9535082,True
SM_117,1000610-DA3,S3X_1000610.1,S3X_1000610,1,0.24,0.95542,0.0019118,-0.9535082,True
SM_118,1000610-DA4,S4X_1000610.1,S4X_1000610,1,0.24,0.95542,0.0019118,-0.9535082,True
SM_119,1000610-DA5,S5X_1000610.1,S5X_1000610,1,0.24,0.95542,0.0019118,-0.9535082,True
SM_120,1000610-DA6,S6X_1000610.1,S6X_1000610,1,0.24,0.95542,0.0019118,-0.9535082,True
SM_121,1000610-DA7,S7X_1000610.1,S7X_1000610,1,0.24,0.95542,0.0019118,-0.9535082,True
SM_122,1000610-DA8,S8X_1000610.1,S8X_1000610,1,0.24,0.95542,0.0019118,-0.9535082,True
SM_123,1000610-DA9,S9X_1000610.1,S9X_1000610,1,0.24,0.95542,0.0019118,-0.9535082,True
SM_124,1000610-DA10,S10X_1000610.1,S10X_1000610,1,0.24,0.95542,0.0019118,-0.9535082,True
SM_125,1000610-DA11,S11X_1000610.1,S11X_1000610,1,0.24,0.95542,0.0019118,-0.9535082,True
SM_126,1000611-DA1,S1X_1000611.1,S1X_1000611,1,0.24,0.95498,0.001911,-0.953069,True
SM_127,1000611-DA2,S2X_1000611.1,S2X_1000611,1,0.24,0.95498,0.001911,-0.953069,True
SM_128,1000611-DA3,S3X_1000611.1,S3X_1000611,1,0.24,0.95498,0.001911,-0.953069,True
SM_129,1000611-DA4,S4X_1000611.1,S4X_1000611,1,0.24,0.95498,0.001911,-0.953069,True
SM_130,1000611-DA5,S5X_1000611.1,S5X_1000611,1,0.24,0.95498,0.001911,-0.953069,True
SM_131,1000612-DA1,S1X_1000612.1,S1X_1000612,1,0.24,0.95485,0.0019107,-0.9529393,True
SM_132,1000612-DA2,S2X_1000612.1,S2X_1000612,1,0.24,0.95485,0.0019107,-0.9529393,True
SM_133,1000612-DA3,S3X_1000612.1,S3X_1000612,1,0.24,0.95485,0.0019107,-0.9529393,True
SM_134,1000612-DA4,S4X_1000612.1,S4X_1000612,1,0.24,0.95485,0.0019107,-0.9529393,True
SM_135,1000612-DA5,S5X_1000612.1,S5X_1000612,1,0.24,0.95485,0.0019107,-0.9529393,True
SM_136,1000612-DA6,S6X_1000612.1,S6X_1000612,1,0.24,0.95485,0.0019107,-0.9529393,True
SM_137,1000612-DA7,S7X_1000612.1,S7X_1000612,1,0.24,0.95485,0.0019107,-0.9529393,True
SM_138,1000612-DA8,S8X_1000612.1,S8X_1000612,1,0.24,0.95485,0.0019107,-0.9529393,True
SM_240,1000198-DA1,S1X_1000198.1,S1X_1000198,1,0.24,0.9561,0.0013038,-0.9547962,True
SM_241,1000548-DA1,S1X_1000548.1,S1X_1000548,1,0.24,0.95043,0.0021526,-0.9482774,True
SM_248,1000531-DA1,S1X_1000531.1,S1X_1000531,1,0.24,0.95797,0.00088963,-0.95708037,True
