rfi_id,nominal_v,threshold_v,min_fault_v,dropout_fraction,meter_offline
1,6987.0,3493.5,5392.4,0.0,False
2,6991.9,3495.9,3712.2,0.0,False
3,6976.8,3488.4,3387.3,1.0,True
4,6950.4,3475.2,224.8,1.0,True
5,6967.6,3483.8,23.0,1.0,True
6,6892.0,3446.0,5.0,1.0,True
7,6901.5,3450.8,10.5,1.0,True
8,6893.5,3446.7,15.7,1.0,True
9,6887.0,3443.5,18.1,1.0,True
10,6893.2,3446.6,18.7,1.0,True
11,6890.0,3445.0,19.1,1.0,True
12,6880.9,3440.5,20.4,1.0,True
13,6873.4,3436.7,20.9,1.0,True
14,6972.1,3486.1,1439.9,1.0,True
15,6960.8,3480.4,1424.8,1.0,True
16,6911.0,3455.5,5.6,1.0,True
17,6896.9,3448.5,13.8,1.0,True
18,6875.6,3437.8,13.9,1.0,True
19,6910.2,3455.1,16.7,1.0,True
20,6879.6,3439.8,18.4,1.0,True
